nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_13,02_01_13,03_01_13,04_01_13,05_01_13,06_01_13,07_01_13,08_01_13,09_01_13,10_01_13,11_01_13,12_01_13,13_01_13,14_01_13,15_01_13,16_01_13,17_01_13,18_01_13,19_01_13,20_01_13,21_01_13,22_01_13,23_01_13,24_01_13,25_01_13,26_01_13,27_01_13,28_01_13,29_01_13,30_01_13,31_01_13,total
Boa Vista do Tupim,EBDA,Boa Vista do Tupim,Boa Vista do Tupim - EBDA,-12.651332,-40.60111,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,22.0,0.0,0.0,16.3,25.0,31.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.3
Iaçu,EBDA,Iaçu,Iaçu - EBDA,-12.768002,-40.217768,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,0.0,85.6,0.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.1
Itaberaba,EBDA,Itaberaba,Itaberaba - EBDA,-12.534663,-40.301101,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,63.0,0.0,31.5,1.5,51.8,13.2,19.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.9
Itaetê,EBDA,Itaetê,Itaetê - EBDA,-12.984669,-40.984455,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,5.7,25.2,0.0,1.2,0.0,3.6,28.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
Marcionílio Souza,EBDA,Marcionílio Souza,Marcionílio Souza - EBDA,-13.001338,-40.534443,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,82.0,0.0,0.0,10.0,15.0,65.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.5
Ruy Barbosa,EBDA,Ruy Barbosa,Ruy Barbosa - EBDA,-12.284657,-40.501107,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,17.0,25.0,13.0,0.0,8.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
Utinga,EBDA,Utinga,Utinga - EBDA,-12.08465,-41.101122,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,67.5,0.0,50.0,0.0,2.5,70.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0
Barra da Estiva,EBDA,Barra da Estiva,Barra da Estiva - EBDA,-13.63468,-41.334467,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.5,5.8,35.0,2.1,2.0,6.7,37.5,6.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,161.7
Baixa Grande,EBDA,Baixa Grande,Baixa Grande - EBDA,-11.951317,-40.167762,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Mairi,EBDA,Mairi,Mairi - EBDA,-11.717981,-40.151095,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
