nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_06_17,02_06_17,03_06_17,04_06_17,05_06_17,06_06_17,07_06_17,08_06_17,09_06_17,10_06_17,11_06_17,12_06_17,13_06_17,14_06_17,15_06_17,16_06_17,17_06_17,18_06_17,19_06_17,20_06_17,21_06_17,22_06_17,23_06_17,24_06_17,25_06_17,26_06_17,27_06_17,28_06_17,29_06_17,30_06_17,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.2,5.6,1.2,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.4,0.0,1.0,3.2,0.6,4.8,0.0,32.6
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.4,2.2,1.8,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.516667,-40.283333,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.2,4.6,0.9,1.5,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.9,0.0,0.5,1.6,0.3,3.7,0.0,23.9
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.7,4.9,1.1,0.2,2.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.3,0.0,0.0,0.0,0.0,2.4,0.2,0.3,0.0,0.1,3.1,0.5,4.6,0.0,26.71
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,2.4,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.5,0.0,0.4,2.0,0.0,24.4
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.6,0.6,0.0,3.8
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.8,5.2,1.2,0.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.2,0.0,0.0,0.0,0.0,2.4,0.2,0.4,0.0,0.0,3.2,0.6,4.8,0.0,28.2
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,2.6,10.4,5.0,0.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,2.0,0.0,2.4,1.0,29.4
Boa Vista Tupim,PG-PR-17,Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.5,4.75,0.25,1.0,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5,0.0,10.75
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.75,2.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.25,1.5,0.25,1.0,0.0,11.25
