nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_17,02_02_17,03_02_17,04_02_17,05_02_17,06_02_17,07_02_17,08_02_17,09_02_17,10_02_17,11_02_17,12_02_17,13_02_17,14_02_17,15_02_17,16_02_17,17_02_17,18_02_17,19_02_17,20_02_17,21_02_17,22_02_17,23_02_17,24_02_17,25_02_17,26_02_17,27_02_17,28_02_17,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.2,0.0,0.0,0.0,0.0,5.8,2.4,1.6,0.0,0.0,0.0,0.0,1.2,13.2
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.2,0.0,0.6,0.2,2.4,0.0,1.2,15.0,2.6,4.4,0.0,0.0,0.0,0.0,0.0,27.81
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.516667,-40.283333,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,11.9
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.2,2.4,2.8,0.0,0.0,0.0,5.8,0.0,0.0,13.1,8.2,0.9,0.0,0.0,0.3,0.0,0.0,36.9
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.2,11.4,0.0,0.0,0.0,0.0,0.0,0.8,13.71
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,3.81
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,7.2
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.5,0.25,0.0,0.0,0.0,0.0,0.25,9.75
Boa Vista Tupim,PG-PR-17,Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,11.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,15.5
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.25,1.25,0.0,0.0,0.0,0.0,0.0,7.25
Fazenda Cruz,PG-PR-20,Piatã,Piatã (Fazenda Cruz) - PG-PR-20,-12.90705,-41.86708,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.0,5.75,0.75,0.0,1.25,4.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,4.5
Utinga,PG-PR-23,Utinga,Utinga - PG-PR-23,-12.030089,-41.058714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.0,5.75,0.75,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.0,5.75,0.75,0.0,1.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Barro Alto,,Barro Alto,Barro Alto,-11.769188,-41.909464,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,12.4,0.0,3.6,0.2,0.0,0.0,0.2,3.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2
