nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,15_03_22,16_03_22,17_03_22,18_03_22,19_03_22,20_03_22,21_03_22,22_03_22,23_03_22,24_03_22,25_03_22,26_03_22,27_03_22,28_03_22,29_03_22,30_03_22,31_03_22,total
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.2,4.2,19.6,0.0,0.2,1.6,0.0,4.2,0.6,0.0,0.2,1.4,2.4,4.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,41.2
Usina Mucugê,PG-FR-20,Mucugê,Mucugê (Usina Mucugê) - PG-FR-20,-13.008835,-41.37113,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.0,0.0,0.8,4.6,15.6,6.8,18.4,1.4,0.8,0.6,1.8,2.0,0.0,0.0,2.2,0.4,0.2,14.0,5.0,4.4,7.6,0.4,0.0,0.4,0.0,0.0,9.8,0.2,0.8,0.8,99.2
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,0.0,0.8,0.8,0.2,16.0,6.8,0.0,6.4,0.4,0.2,3.6,0.0,0.0,0.0,0.0,0.8,14.0,2.6,7.4,1.8,0.0,0.0,0.0,0.4,0.0,0.2,0.0,5.0,0.2,0.0,0.0,67.6
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,Nordeste,RPGA do Rio Itapicuru,0.0,2.4,0.0,0.0,36.0,10.0,0.0,5.8,0.2,0.2,5.8,1.8,0.0,0.0,0.0,1.4,16.0,5.4,9.2,0.2,0.2,0.8,0.2,1.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,101.81
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,1.2,26.6,15.0,5.8,5.4,0.0,8.0,0.2,0.0,0.0,0.0,0.0,0.6,1.0,3.6,4.8,4.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,79.2
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.1128,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,9.0,12.6,0.4,0.4,5.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,2.8,2.2,1.0,0.0,6.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,42.0
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.83676,-39.65905,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,4.2,27.4,11.2,0.8,0.2,0.0,2.2,4.4,0.4,0.0,0.0,0.0,6.4,2.4,1.0,0.4,0.0,0.0,0.0,10.2,0.2,0.0,1.2,0.0,0.0,0.8,0.0,0.0,73.4
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.03477,-38.80386,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,2.2,26.2,6.2,3.4,1.4,0.2,0.0,1.0,1.0,0.4,0.0,0.0,0.4,0.2,1.8,0.6,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.4,0.0,0.6,1.8,50.0
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.95669,-40.38329,Nordeste,RPGA do Rio Itapicuru,0.0,0.8,0.0,5.6,37.0,5.6,1.4,2.0,0.0,1.6,1.0,0.4,0.0,0.0,0.2,1.6,2.2,2.6,8.0,0.0,0.0,0.0,0.2,4.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,76.8
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.4964,-40.34474,Nordeste,RPGA do Rio Itapicuru,0.0,0.6,0.0,9.0,18.0,31.4,0.0,2.0,0.0,2.2,0.4,5.8,0.0,0.0,0.0,4.4,1.0,0.8,7.2,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,7.6,0.0,0.0,0.4,93.21
