nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_05_20,02_05_20,03_05_20,04_05_20,05_05_20,06_05_20,07_05_20,08_05_20,09_05_20,10_05_20,11_05_20,12_05_20,13_05_20,14_05_20,15_05_20,16_05_20,17_05_20,18_05_20,19_05_20,20_05_20,21_05_20,22_05_20,23_05_20,24_05_20,25_05_20,26_05_20,27_05_20,28_05_20,29_05_20,30_05_20,total
Seabra,PG-PR-01,Seabra,Seabra - PG-PR-01,-12.428,-41.77,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,10.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,10.6,0.0,0.0,0.0,22.0
Baixa Grande,PG-PR-08,Baixa Grande,Baixa Grande - PG-PR-08,-11.909,-40.184,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.4,1.2,3.8,0.2,0.0,3.4,3.8,3.6,6.0,4.6,0.2,0.0,0.0,0.0,7.6,8.4,4.6,16.2,3.4,2.2,0.0,0.0,0.0,1.2,0.8,0.0,74.6
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.651,-40.952,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.0,1.0,2.4,0.4,0.0,0.0,0.0,0.6,2.2,4.0,0.0,0.0,0.2,0.0,0.0,0.0,5.6,0.8,3.4,1.8,0.8,0.0,0.0,0.0,0.2,14.8,0.0,38.4
Cafarnaum,290530501C,Cafarnaum,Cafarnaum - 290530501C,-11.745,-41.498,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,50.4,0.0,0.0,58.4
Piatã,CO-CL-04,Piatã,Piatã - CO-CL-04,-13.164,-41.771,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8,0.5,1.0,3.2,6.0,0.0,0.0,0.0,0.0,13.5,9.0,3.8,0.5,2.2,1.0,0.0,0.0,2.8,0.2,0.0,0.0,0.0,47.0
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.514,-39.934,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Itaberaba,291470301C,Itaberaba,Itaberaba - 291470301C,-12.458,-40.202,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5.6,0.4,0.0,0.0,0.0,0.0,0.0,2.4,0.8,3.0,0.8,0.0,0.0,0.2,0.0,0.2,0.0,0.0,18.4
Utinga,293280401C,Utinga,Utinga - 293280401C,-12.076,-41.102,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,0.4,0.0,0.0,0.0,1.8,12.4,0.0,0.0,0.0,0.0,10.4,1.2,0.0,1.2,0.0,10.8,0.0,0.0,41.2,5.6,0.0,0.0,87.8
Rio de Contas,292670701C,Rio de Contas,Rio de Contas - 292670701C,-13.57,-41.819,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,9.0,0.4,0.4,0.2,18.6,0.0,0.0,13.2,0.0,8.6,1.2,2.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,56.2
Chorrochó,290770701C,Chorrochó,Chorrochó - 290770701C,-8.984,-39.118,Nordeste,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,13.8,5.2,1.0,0.0,0.0,0.0,0.0,3.0,2.4,1.2,0.0,32.0
