nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_12,02_02_12,03_02_12,04_02_12,05_02_12,06_02_12,07_02_12,08_02_12,09_02_12,10_02_12,11_02_12,12_02_12,13_02_12,14_02_12,15_02_12,16_02_12,17_02_12,18_02_12,19_02_12,20_02_12,21_02_12,22_02_12,23_02_12,24_02_12,25_02_12,26_02_12,27_02_12,28_02_12,29_02_12,total
Boa Vista do Tupim,EBDA,Boa Vista do Tupim,Boa Vista do Tupim - EBDA,-12.651332,-40.60111,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iaçu,EBDA,Iaçu,Iaçu - EBDA,-12.768002,-40.217768,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,6.3,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71
Itaberaba,EBDA,Itaberaba,Itaberaba - EBDA,-12.534663,-40.301101,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Itaetê,EBDA,Itaetê,Itaetê - EBDA,-12.984669,-40.984455,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.6,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8
Marcionílio Souza,EBDA,Marcionílio Souza,Marcionílio Souza - EBDA,-13.001338,-40.534443,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Ruy Barbosa,EBDA,Ruy Barbosa,Ruy Barbosa - EBDA,-12.284657,-40.501107,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Utinga,EBDA,Utinga,Utinga - EBDA,-12.08465,-41.101122,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Barra da Estiva,EBDA,Barra da Estiva,Barra da Estiva - EBDA,-13.63468,-41.334467,Chapada Diamantina,RPGA do Rio de Contas,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,28.5,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6
Baixa Grande,EBDA,Baixa Grande,Baixa Grande - EBDA,-11.951317,-40.167762,Chapada Diamantina,RPGA do Rio Paraguaçu,1.25,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,1.5,1.0,0.25,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,16.75
Mairi,EBDA,Mairi,Mairi - EBDA,-11.717981,-40.151095,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morro do Chapéu,EBDA,Morro do Chapéu,Morro do Chapéu - EBDA,-11.551305,-41.151119,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mundo Novo,EBDA,Mundo Novo,Mundo Novo - EBDA,-11.851314,-40.46777,Chapada Diamantina,RPGA do Rio Paraguaçu,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
Barra do Mendes,EBDA,Barra do Mendes,Barra do Mendes - EBDA,-11.817975,-42.06781,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
Cafarnaum,EBDA,Cafarnaum,Cafarnaum - EBDA,-11.684641,-41.484462,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
Canarana,EBDA,Canarana,Canarana - EBDA,-11.684641,-41.751137,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8
