nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_21,02_08_21,03_08_21,04_08_21,05_08_21,06_08_21,07_08_21,08_08_21,09_08_21,10_08_21,11_08_21,12_08_21,13_08_21,14_08_21,15_08_21,16_08_21,17_08_21,18_08_21,19_08_21,20_08_21,total
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.894,-38.442,Recôncavo,RPGA do Recôncavo Norte,0.99,15.38,20.86,0.2,0.99,14.2,8.47,23.42,9.66,0.0,0.0,0.0,1.57,0.98,4.93,0.0,0.0,1.18,0.4,0.6,103.84
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939,-38.486,Recôncavo,RPGA do Recôncavo Norte,1.19,17.21,18.91,0.2,6.71,40.24,7.87,38.19,12.59,0.2,0.0,0.0,0.2,1.19,2.57,0.0,3.54,3.35,0.79,0.59,155.54
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943,-38.421,Recôncavo,RPGA do Recôncavo Norte,1.58,12.61,15.58,0.0,3.15,17.72,24.43,41.33,16.34,0.0,0.0,0.0,2.36,5.33,3.15,0.0,0.0,3.34,0.99,0.59,148.51
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979000000000001,-38.486,Recôncavo,RPGA do Recôncavo Norte,3.16,29.56,36.21,0.4,4.93,23.42,2.37,50.18,17.53,0.2,0.0,0.0,2.95,0.79,3.55,0.0,1.18,1.77,3.54,0.2,181.94
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.94,-38.475,Recôncavo,RPGA do Recôncavo Norte,1.2,16.53,18.33,0.0,4.74,26.59,10.64,40.18,11.42,0.79,0.0,0.0,2.17,1.57,0.79,0.0,3.74,2.17,0.2,0.39,141.45
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.899000000000001,-38.459,Recôncavo,RPGA do Recôncavo Norte,1.38,16.95,26.4,0.0,4.74,27.88,23.89,35.62,13.19,0.0,0.0,0.0,0.98,7.37,2.38,0.0,0.0,5.92,1.58,0.79,169.07
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.890999999999998,-38.471,Recôncavo,RPGA do Recôncavo Norte,1.0,13.58,22.07,0.59,2.76,25.62,9.11,27.8,16.59,4.6,0.0,0.0,0.2,6.51,4.14,0.0,0.98,3.35,0.2,0.39,139.49
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.864,-38.438,Recôncavo,RPGA do Recôncavo Norte,1.79,15.16,7.11,0.0,3.94,10.46,5.73,22.25,11.23,1.38,0.0,0.0,2.56,6.29,0.0,0.0,0.0,3.15,0.98,0.99,93.03
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.931,-38.516999999999996,Recôncavo,RPGA do Recôncavo Norte,1.6,7.54,21.54,1.0,6.31,28.7,10.86,34.04,10.64,0.0,0.0,0.0,0.2,1.58,4.92,0.0,1.18,3.63,2.18,0.0,135.93
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647,-38.539,Recôncavo,RPGA do Recôncavo Norte,0.2,15.37,4.74,0.0,2.96,24.57,4.38,10.13,2.58,2.0,0.0,0.0,0.0,1.19,5.99,0.0,0.0,2.57,1.0,0.0,77.68
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.67,-38.544000000000004,Recôncavo,RPGA do Recôncavo Norte,2.2,2.2,26.76,24.53,5.4,5.0,2.0,1.8,2.2,2.0,2.2,1.8,2.0,2.0,1.8,1.8,1.8,1.6,1.6,1.2,91.89
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671,-38.531,Recôncavo,RPGA do Recôncavo Norte,0.0,21.88,0.99,0.0,4.34,27.2,4.16,9.09,6.7,4.35,0.0,0.0,0.39,0.99,4.94,0.0,0.0,0.6,4.76,0.0,90.39
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.336999999999996,Recôncavo,RPGA do Recôncavo Norte,2.78,23.15,2.77,0.0,5.32,15.4,11.43,14.8,12.82,0.0,0.0,0.0,0.6,0.8,1.4,0.0,0.99,10.05,4.77,0.4,107.48
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,1.58,12.21,3.15,0.0,5.12,12.42,1.99,19.3,10.64,0.0,0.0,0.0,1.78,4.53,0.2,0.0,0.0,5.52,0.0,0.39,78.84
Vila Praiana,291920702A,Lauro de Freitas,Lauro de Freitas (Vila Praiana) - 291920702A,-12.901,-38.308,Recôncavo,RPGA do Recôncavo Norte,0.2,12.02,1.97,0.0,5.13,8.88,3.36,14.39,13.2,0.2,0.0,0.0,0.0,1.39,0.0,0.0,0.0,3.55,0.2,0.0,64.5
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,0.8,19.71,2.76,0.0,7.89,12.8,8.87,16.55,13.19,0.0,0.0,0.0,0.2,2.55,0.59,0.0,0.0,4.93,0.2,0.0,91.04
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,1.39,21.85,2.38,0.2,4.75,27.43,11.04,16.57,12.4,0.0,0.0,0.0,0.79,0.99,1.0,0.0,5.01,7.87,2.17,1.18,117.03
Muritiba,PG-PR-12,Muritiba,Muritiba - PG-PR-12,-12.618,-39.006,Recôncavo,RPGA do Rio Paraguaçu,2.8,2.2,3.4,0.0,0.0,8.4,6.4,15.0,4.6,0.0,0.0,0.0,0.0,0.2,2.8,0.0,0.0,0.6,2.4,1.2,50.01
Dois de Julho,291120401A,Gandú,Gandú (Dois de Julho) - 291120401A,-13.741,-39.483000000000004,Recôncavo,RPGA do Recôncavo Sul,1.81,0.4,0.0,0.0,0.0,2.36,8.28,1.78,18.16,0.4,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,5.32,4.95,45.24
Rua São Roque,293290301A,Valença,Valença (Rua São Roque) - 293290301A,-13.363,-39.078,Recôncavo,RPGA do Recôncavo Sul,4.17,14.02,8.92,0.0,2.98,12.28,5.72,14.38,49.98,0.2,0.0,0.0,0.4,2.18,0.79,0.0,0.0,5.13,1.59,0.6,123.34
Lauro de Freitas,RN-CL-09,Lauro de Freitas,Lauro de Freitas - RN-CL-09,-12.887,-38.297,Recôncavo,RPGA do Recôncavo Norte,0.4,17.2,3.4,0.0,9.2,12.8,6.2,15.8,14.6,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,6.6,1.6,0.0,89.2
CIA,293070902A,Simões Filho,Simões Filho (CIA) - 293070902A,-12.825,-38.409,Recôncavo,RPGA do Recôncavo Norte,2.8,19.2,2.0,0.0,5.6,13.6,6.6,24.4,11.2,0.2,0.0,0.0,0.4,4.0,0.6,0.0,0.6,5.4,1.6,0.2,98.4
Itiruçu,A407,Itiruçu,Itiruçu - A407,-13.526,-40.121,Sudoeste,RPGA do Recôncavo Sul,1.2,6.0,0.0,0.0,0.0,7.0,6.2,0.2,5.8,0.8,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.4,3.4,34.2
Lagoa,291760701A,Jaguaquara,Jaguaquara (Lagoa) - 291760701A,-13.523,-39.969,Sudoeste,RPGA do Recôncavo Sul,0.0,6.4,0.0,0.2,0.0,2.4,5.2,1.6,7.6,0.0,0.0,0.0,0.0,3.2,0.2,0.0,0.0,0.4,3.2,1.2,31.6
Entroncamento,291760702A,Jaguaquara,Jaguaquara (Entroncamento) - 291760702A,-13.51,-40.055,Sudoeste,RPGA do Recôncavo Sul,0.6,4.8,0.0,0.0,0.0,3.2,1.8,0.6,4.6,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.4,0.8,3.4,22.8
Brumado,A433,Brumado,Brumado - A433,-14.182,-41.672,Sudoeste,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4
Clerolândia,291640101A,Itapetinga,Itapetinga (Clerolândia) - 291640101A,-15.243,-40.221,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,4.61,0.0,1.2,6.17,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.35
Recreio,293330702A,Vitória da Conquista,Vitória da Conquista (Recreio) - 293330702A,-14.860999999999999,-40.841,Sudoeste,RPGA do Rio Pardo,0.0,0.41,0.0,0.0,0.0,1.4,0.2,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,4.03
Patagônia,293330704A,Vitória da Conquista,Vitória da Conquista (Patagônia) - 293330704A,-14.87,-40.863,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
Barcelar,293330705A,Vitória da Conquista,Vitória da Conquista (Barcelar) - 293330705A,-14.838,-40.856,Sudoeste,RPGA do Rio Pardo,0.0,0.99,0.0,0.0,0.0,0.8,0.6,0.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.4
Lomantão,293330703A,Vitória da Conquista,Vitória da Conquista (Lomantão) - 293330703A,-14.87,-40.827,Sudoeste,RPGA do Rio Pardo,0.0,0.62,0.0,0.0,0.0,1.79,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43
Cândido Sales,290670901C,Cândido Sales,Cândido Sales - 290670901C,-15.51,-41.152,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2
Ilhéus,A410,Ilhéus,Ilhéus - A410,-14.659,-39.181,Sul,RPGA do Leste,0.2,2.8,0.0,0.2,0.2,12.0,0.6,16.4,21.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.8,10.0,16.0,85.01
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.209000000000001,-39.599000000000004,Sul,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,5.2,4.0,6.6,22.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.2,7.2,48.2
Centro,290580001A,Camamu,Camamu (Centro) - 290580001A,-13.944,-39.103,Sul,RPGA do Recôncavo Sul,1.0,5.6,1.4,0.2,0.2,12.8,22.0,7.2,30.8,0.4,0.0,0.0,0.0,2.4,0.2,0.0,0.0,4.8,7.2,0.2,96.41
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.583,-39.781,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.6,0.0,0.0,1.2,9.2,3.4,0.0,1.6,0.0,0.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,3.6,2.0,24.0
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.187000000000001,-39.486999999999995,Sul,RPGA do Leste,0.4,1.6,0.0,1.6,1.0,21.2,2.0,6.8,9.8,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.2,1.4,4.4,52.4
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.028,-39.535,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.4,0.2,0.0,6.8,9.0,2.0,8.0,1.2,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,4.0,0.8,5.6,41.4
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.460999999999999,-39.652,Sul,RPGA do Rio Pardo,0.2,1.6,0.2,0.0,0.0,27.6,0.8,7.2,34.4,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,5.8,80.2
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.43,-39.333,Sul,RPGA do Leste,0.2,0.2,0.0,0.6,2.2,10.8,1.4,4.2,22.2,0.6,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.6,5.6,49.81
CPLAC,LE-CL-01,Ilhéus,Ilhéus (CPLAC) - LE-CL-01,-14.802,-39.181,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,290560201A,Camacan,Camacan (Centro) - 290560201A,-15.422,-39.495,Sul,RPGA do Rio Pardo,1.6,2.38,0.0,2.19,0.0,10.33,1.6,1.2,3.6,2.2,1.8,1.8,1.4,1.2,1.2,0.8,1.0,0.8,1.2,1.0,37.3
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859000000000002,-38.878,Sul,RPGA do Rio Jequitinhonha,6.16,1.0,2.18,5.52,4.54,4.75,0.0,12.2,1.19,0.0,0.0,0.98,0.39,0.0,0.0,0.0,0.0,0.79,0.79,1.18,41.67
São João do Panelinha,290560202A,Camacan,Camacan (São João do Panelinha) - 290560202A,-15.375,-39.49,Sul,RPGA do Rio Pardo,1.2,2.18,0.0,3.75,0.0,14.0,3.15,7.9,29.91,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,5.34,70.98
Centro,290560203A,Camacan,Camacan (Centro) - 290560203A,-15.415999999999999,-39.494,Sul,RPGA do Rio Pardo,1.39,3.37,0.0,2.17,0.2,12.27,2.17,2.99,25.05,10.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,4.39,66.43
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797,-39.046,Sul,RPGA do Leste,0.0,6.13,0.0,0.0,0.0,9.1,1.77,6.31,2.78,0.59,0.0,0.0,2.76,0.0,0.0,0.0,0.0,4.93,9.26,9.26,52.89
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789000000000001,-39.049,Sul,RPGA do Leste,0.0,5.52,0.0,0.0,0.0,7.89,1.37,5.93,3.98,0.4,0.0,0.0,2.37,0.0,0.0,0.0,0.0,2.59,12.98,5.52,48.55
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.806,-39.278,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.2,6.91,9.43,8.3,8.14,0.0,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,5.76,4.35,44.9
Nova Ferradas,291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857000000000001,-39.347,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,8.17,4.16,14.23,7.18,0.82,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,2.96,43.68
Planalto I,292110401A,Medeiros Neto,Medeiros Neto (Planalto I) - 292110401A,-17.365,-40.223,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.6,0.2,0.4,0.2,1.19,12.24,1.0,0.4,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,18.41
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",2.76,6.52,4.17,31.08,9.3,0.2,2.77,4.53,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.41,61.95
Posto da Mata,292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",2.39,7.67,5.71,31.55,10.24,0.0,2.76,5.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,66.83
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",1.39,1.57,0.4,0.79,14.97,5.72,0.0,1.37,1.39,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,9.83,0.78,19.09,58.28
Centro,291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,7.89,4.35,9.28,9.89,2.18,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10.63,3.76,48.18
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089000000000002,-39.616,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,0.0,0.4,13.86,0.2,8.84,3.74,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,5.13,33.55
Bom Jesus da Lapa,83288,Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,-13.251,-43.405,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Rita de Cássia,83076,Santa Rita de Cássia,Santa Rita de Cássia - 83076,-11.017000000000001,-44.516999999999996,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macaúbas,PM-CL-02,Macaúbas,Macaúbas - PM-CL-02,-13.08,-42.696000000000005,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6
Volta da Serra,CD-CL-02,Paratinga,Paratinga (Volta da Serra) - CD-CL-02,-12.575999999999999,-43.128,São Francisco,RPGA do Rio Carnaíba de Dentro,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.4
Xique-Xique,PM-CL-05,Xique-Xique,Xique-Xique - PM-CL-05,-10.825,-42.68899999999999,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guanambi,291170901C,Guanambi,Guanambi - 291170901C,-14.212,-42.839,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
