nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_21,02_08_21,03_08_21,04_08_21,05_08_21,06_08_21,07_08_21,08_08_21,09_08_21,10_08_21,11_08_21,12_08_21,13_08_21,14_08_21,15_08_21,16_08_21,17_08_21,18_08_21,19_08_21,20_08_21,total
Jacobina,83186,Jacobina,Jacobina - 83186,-11.173,-40.534,Nordeste,RPGA do Rio Itapicuru,4.7,0.4,5.7,0.0,0.0,3.8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.4,0.0,0.0,25.3
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.162,-40.554,Nordeste,RPGA do Rio Itapicuru,1.8,0.0,4.8,0.0,0.0,2.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.2,0.0,13.8
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174000000000001,-40.518,Nordeste,RPGA do Rio Itapicuru,6.6,0.4,6.4,0.0,0.0,3.0,0.6,7.8,0.0,0.0,0.0,0.0,0.2,0.0,1.8,0.2,0.0,0.6,0.0,0.0,27.6
Euclides da Cunha,A442,Euclides da Cunha,Euclides da Cunha - A442,-10.537,-38.997,Nordeste,RPGA do Rio Itapicuru,0.8,0.0,0.2,0.0,0.0,0.2,1.6,1.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.4,1.2,7.61
Senhor do Bonfim,A428,Senhor do Bonfim,Senhor do Bonfim - A428,-10.443,-40.148,Nordeste,RPGA do Rio Itapicuru,10.6,1.2,1.2,0.2,0.0,0.4,2.0,5.2,0.2,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.0,0.0,1.2,24.4
Capim Grosso,IT-CL-03,Capim Grosso,Capim Grosso - IT-CL-03,-11.368,-40.034,Nordeste,RPGA do Rio Itapicuru,8.4,3.6,3.6,0.0,0.4,5.8,2.4,9.6,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.4,0.0,35.2
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.837,-39.659,Nordeste,RPGA do Rio Paraguaçu,2.6,2.0,2.8,0.0,0.4,6.6,2.6,7.8,0.0,0.2,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.2,0.0,0.0,26.6
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.035,-38.804,Nordeste,RPGA do Rio Itapicuru,7.2,0.0,0.0,0.0,0.0,0.2,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.2,1.2,13.2
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.957,-40.383,Nordeste,RPGA do Rio Itapicuru,6.6,1.4,1.4,0.0,0.0,1.2,2.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.495999999999999,-40.345,Nordeste,RPGA do Rio Itapicuru,5.0,1.8,3.8,0.0,0.0,4.0,1.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,25.8
Ipirá,PG-CL-02,Ipirá,Ipirá - PG-CL-02,-12.15,-39.765,Nordeste,RPGA do Rio Paraguaçu,2.0,3.8,1.8,0.0,1.2,6.0,1.2,11.6,0.4,0.0,0.0,0.0,0.0,5.2,3.2,0.2,0.6,1.0,0.2,0.0,38.41
Valente,PG-PR-04,Valente,Valente - PG-PR-04,-11.401,-39.458,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4
Centro,293010501A,Senhor do Bonfim,Senhor do Bonfim (Centro) - 293010501A,-10.464,-40.19,Nordeste,RPGA do Rio Itapicuru,2.58,0.8,0.4,0.0,0.0,0.99,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.19,0.98,0.0,0.0,0.0,0.0,7.34
