nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_07_21,02_07_21,03_07_21,04_07_21,05_07_21,06_07_21,07_07_21,08_07_21,09_07_21,10_07_21,11_07_21,12_07_21,13_07_21,14_07_21,total
Jacobina,83186,Jacobina,Jacobina - 83186,-11.173,-40.534,Nordeste,RPGA do Rio Itapicuru,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.9,0.0,3.8,0.0,0.1,0.0,5.2,21.3
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.162,-40.554,Nordeste,RPGA do Rio Itapicuru,0.0,4.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,3.4,9.6
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174000000000001,-40.518,Nordeste,RPGA do Rio Itapicuru,0.0,15.8,1.0,0.2,0.0,0.0,0.2,0.2,0.0,5.6,1.0,0.2,0.0,5.6,29.8
Euclides da Cunha,A442,Euclides da Cunha,Euclides da Cunha - A442,-10.537,-38.997,Nordeste,RPGA do Rio Itapicuru,1.0,2.4,0.6,0.8,0.2,0.4,1.8,0.6,1.8,2.2,4.8,2.2,1.4,4.0,24.2
Senhor do Bonfim,A428,Senhor do Bonfim,Senhor do Bonfim - A428,-10.443,-40.148,Nordeste,RPGA do Rio Itapicuru,0.0,9.2,9.4,0.0,0.0,5.6,0.8,0.2,0.2,1.8,5.0,3.0,0.0,1.6,36.81
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.183,-40.047,Nordeste,RPGA do Rio Itapicuru,0.0,10.4,1.2,0.0,0.0,0.4,1.2,0.0,0.0,1.4,1.0,0.6,0.0,7.0,23.2
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.113,Nordeste,RPGA do Rio Itapicuru,0.0,4.2,1.4,0.2,0.0,2.6,4.4,0.4,0.2,1.0,0.8,0.4,0.2,0.4,16.2
Capim Grosso,IT-CL-03,Capim Grosso,Capim Grosso - IT-CL-03,-11.368,-40.034,Nordeste,RPGA do Rio Itapicuru,0.8,13.4,2.6,0.0,0.2,4.0,0.8,0.0,0.0,2.4,0.6,2.6,0.2,3.4,31.0
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.837,-39.659,Nordeste,RPGA do Rio Paraguaçu,0.0,11.4,1.8,0.0,0.4,1.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.2,18.21
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.035,-38.804,Nordeste,RPGA do Rio Itapicuru,0.6,5.6,5.2,6.4,0.2,3.6,4.2,1.6,1.2,6.4,5.0,1.2,0.2,2.0,43.41
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.957,-40.383,Nordeste,RPGA do Rio Itapicuru,0.0,10.8,3.2,0.0,0.0,1.2,3.0,0.2,0.0,0.8,0.0,1.4,0.0,2.0,22.6
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.495999999999999,-40.345,Nordeste,RPGA do Rio Itapicuru,0.0,9.0,2.2,0.0,0.0,0.8,0.8,0.0,0.2,2.8,0.2,0.2,0.2,4.0,20.4
Ipirá,PG-CL-02,Ipirá,Ipirá - PG-CL-02,-12.15,-39.765,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valente,PG-PR-04,Valente,Valente - PG-PR-04,-11.401,-39.458,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.8
