nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_21,02_02_21,03_02_21,04_02_21,05_02_21,06_02_21,07_02_21,08_02_21,09_02_21,10_02_21,11_02_21,12_02_21,13_02_21,14_02_21,15_02_21,16_02_21,17_02_21,18_02_21,19_02_21,20_02_21,21_02_21,22_02_21,23_02_21,24_02_21,25_02_21,26_02_21,27_02_21,28_02_21,total
Euclides da Cunha,A442,Euclides da Cunha,Euclides da Cunha - A442,-10.537233,-38.996605,Nordeste,RPGA do Rio Itapicuru,16.4,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,17.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.61
Senhor do Bonfim,A428,Senhor do Bonfim,Senhor do Bonfim - A428,-10.443072,-40.148244,Nordeste,RPGA do Rio Itapicuru,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,Nordeste,RPGA do Rio Itapicuru,8.2,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.2,16.0,5.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,66.2
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.1128,Nordeste,RPGA do Rio Itapicuru,1.4,0.0,0.0,0.0,0.0,0.0,0.0,7.4,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.2,3.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.01
Capim Grosso,IT-CL-03,Capim Grosso,Capim Grosso - IT-CL-03,-11.36833,-40.03417,Nordeste,RPGA do Rio Itapicuru,0.4,0.4,0.0,0.2,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4
Aporá,IT-CL-01,Aporá,Aporá - IT-CL-01,-11.67082,-38.17485,Nordeste,RPGA do Rio Itapicuru,4.2,1.9,1.1,1.1,0.0,0.0,0.0,0.0,0.0,3.6,0.3,0.1,1.0,0.0,0.0,0.6,19.6,1.4,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,4.8,40.5
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.83676,-39.65905,Nordeste,RPGA do Rio Paraguaçu,8.6,0.0,0.0,0.4,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,44.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.21
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.03477,-38.80386,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.95669,-40.38329,Nordeste,RPGA do Rio Itapicuru,0.4,0.0,0.0,0.0,0.0,0.6,0.0,16.6,8.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,9.2,7.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.4964,-40.34474,Nordeste,RPGA do Rio Itapicuru,13.4,0.0,0.4,0.0,0.0,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.8,3.0,3.8,0.0,0.0,11.0,0.0,0.0,0.0,0.6,0.0,85.6
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,Nordeste,RPGA do Rio Itapicuru,13.6,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,7.2,1.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,82.2
Carrapichel,IT-PR-37,Senhor do Bonfim,Senhor do Bonfim (Carrapichel) - IT-PR-37,-10.388101,-40.220067,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.4,0.0,0.0,0.0,0.0,3.4,9.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,50.2
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.24831,-39.37563,Nordeste,RPGA do Rio Itapicuru,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.6,0.2,0.0,0.0,0.0,0.0,2.0,8.2,64.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.81
Fazenda Boa Vista,IT-PR-18,Uauá,Uauá (Fazenda Boa Vista) - IT-PR-18,-10.05893,-39.706158,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.0,1.4,0.0,0.0,0.0,1.0,0.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.4,2.6,74.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
Cansanção,IT-PR-20,Cansanção,Cansanção - IT-PR-20,-10.702836,-39.543932,Nordeste,RPGA do Rio Itapicuru,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.4,0.0,0.8,0.0,0.0,0.0,6.6,39.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6
Ribeira do Amparo,A458,Ribeira do Amparo,Ribeira do Amparo - A458,-11.058722,-38.444028,Nordeste,RPGA do Rio Itapicuru,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,7.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2
Quijingue,IT-PR-25,Quijingue,Quijingue - IT-PR-25,-10.783951,-39.20809,Nordeste,RPGA do Rio Itapicuru,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,2.0,6.8,10.4,1.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,58.4
Inhambupe,RN-CL-10,Inhambupe,Inhambupe - RN-CL-10,-11.69267,-38.31361,Nordeste,RPGA do Recôncavo Norte,0.0,0.8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.8
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,36.0
Ribeira do Pombal,IT-PR-04,Ribeira do Pombal,Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,11.4,0.0,0.0,0.0,0.0,0.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6
Crisópolis,IT-PR-08,Crisópolis,Crisópolis - IT-PR-08,-11.510923,-38.120832,Nordeste,RPGA do Rio Itapicuru,0.0,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.2
Itapicuru,IT-PR-12,Itapicuru,Itapicuru - IT-PR-12,-11.321193,-38.225003,Nordeste,RPGA do Rio Itapicuru,1.2,3.4,0.2,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3
Boa Hora,IT-PR-13,Ribeira do Amparo,Ribeira do Amparo (Boa Hora) - IT-PR-13,-10.965,-38.5234,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,12.4
Jeremoabo,A450,Jeremoabo,Jeremoabo - A450,-10.0807,-38.3459,Nordeste,RPGA do Rio Vaza-Barris,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.6
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4
Queimadas,IT-FR-26,Queimadas,Queimadas - IT-FR-26,-10.9733,-39.6328,Nordeste,RPGA do Rio Itapicuru,18.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,7.2,32.4,0.4,2.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,61.8
Quixabeira,292593101C,Quixabeira,Quixabeira - 292593101C,-11.37282,-40.12878,Nordeste,RPGA do Rio Itapicuru,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,43.2
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,3.2,0.0,0.6,0.0,0.0,0.0,0.0,8.4,42.4,17.8,5.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,79.6
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,17.6,32.4,19.4,8.6,0.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,84.2
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,3.4,0.2,0.2,0.0,0.0,0.0,0.0,8.0,55.6,13.4,3.2,0.0,0.0,0.0,8.8,7.6,0.0,0.0,0.0,103.0
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,32.0,1.4,6.4,2.6,0.2,8.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,9.8,6.8,0.8,4.6,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.8
Centro,290115501A,América Dourada,América Dourada (Centro) - 290115501A,-11.45011,-41.434004,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.8,1.2,0.0,8.2,1.6,44.4,37.4,10.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,3.0,17.8,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6
Irecê,A424,Irecê,Irecê - A424,-11.328998,-41.864504,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,12.4,9.8,0.6,4.6,0.2,14.6,6.0,0.2,0.0,0.0,0.0,0.0,0.0,7.2,9.6,14.2,0.4,2.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,83.01
Várzea Nova,SA-CL-02,Várzea Nova,Várzea Nova - SA-CL-02,-11.23996,-40.935618,Norte,RPGA do Rio Salitre,1.9,0.9,0.5,0.9,0.0,6.2,4.5,13.5,1.7,0.1,2.5,0.0,1.4,0.0,0.0,1.1,15.7,15.0,1.4,0.4,0.1,0.0,0.3,0.0,4.6,0.0,1.5,0.2,74.4
CODEVASF Salitre,MC-CL-01,Juazeiro,Juazeiro (CODEVASF Salitre) - MC-CL-01,-9.48778,-40.61333,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,30.4,41.4,10.2,1.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,91.81
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10.4,20.6,0.0,0.6,0.4,0.0,0.0,0.0,1.4,1.0,0.0,7.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.0,1.2,0.0,0.0,0.0,0.0,0.0,42.0,7.4,3.4,0.0,0.0,0.0,0.0,0.0,63.4,1.6,1.0,7.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.2
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,0.0,12.4,39.4,0.0,0.0,9.2,0.0,0.2,9.8,13.2,0.0,0.0,0.0,0.0,0.0,32.8,3.6,0.0,71.6,1.2,0.4,0.6,0.0,0.0,0.0,1.4,0.0,0.0,195.8
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,2.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,32.6,4.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.62667,-42.06444,Norte,RPGA dos Rios Verde e Jacaré,0.0,7.6,39.8,0.6,6.4,11.2,1.2,3.2,2.0,18.4,0.0,0.0,0.0,0.0,0.0,15.4,7.4,11.4,4.0,1.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.01
Nova Vida Montante,46590000,Barreiras,Barreiras (Nova Vida Montante) - 46590000,-11.867963,-45.084552,Oeste,RPGA do Rio Grande,0.8,9.8,0.0,7.6,41.2,7.0,71.8,0.8,0.2,47.8,10.0,0.2,1.6,0.0,0.0,3.8,39.0,1.4,27.6,30.8,6.2,11.0,0.0,20.2,0.0,49.8,0.0,9.8,398.41
