nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_09_21,02_09_21,03_09_21,04_09_21,05_09_21,06_09_21,07_09_21,08_09_21,09_09_21,10_09_21,11_09_21,12_09_21,13_09_21,14_09_21,15_09_21,total
Fazenda Vereda Nova,GR-FR-20,São Desiderio,São Desiderio (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fazenda Vale do Urso,GR-FR-23,Luís Eduardo Magalhães,Luís Eduardo Magalhães (Fazenda Vale do Urso) - GR-FR-23,-11.905058,-45.698311,Oeste,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bebedouro,45760000,Jaborandi,Jaborandi (Bebedouro) - 45760000,-13.7372,-45.4639,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,10.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
J. Zoológico,A401,Salvador,Salvador (J. Zoológico) - A401,-13.005514999999999,-38.505759999999995,Recôncavo,RPGA do Recôncavo Norte,11.0,0.0,0.2,7.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.2,20.2
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344000000001,-38.458110999999995,Recôncavo,RPGA do Recôncavo Norte,5.4,0.6,0.4,3.4,0.2,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.4,12.6
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,11.2,0.4,0.2,3.8,3.4,0.0,0.0,0.8,0.2,0.0,0.0,0.0,3.0,0.2,1.0,24.2
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370135999999995,Recôncavo,RPGA do Recôncavo Norte,14.8,0.2,0.0,1.6,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.2,0.0,0.4,21.2
Tancredo Neves,292740823A,Salvador,Salvador (Tancredo Neves) - 292740823A,-12.945347,-38.453472,Recôncavo,RPGA do Recôncavo Norte,1.8,0.0,0.0,3.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.2,7.81
Estação Rádio Marinha,A456,Salvador,Salvador (Estação Rádio Marinha) - A456,-12.808222,-38.495944,Recôncavo,RPGA do Recôncavo Norte,3.6,0.0,0.0,3.4,0.0,7.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4
Cruz das Almas,83222,Cruz das Almas,Cruz das Almas - 83222,-12.666667,-39.083333,Recôncavo,RPGA do Rio Paraguaçu,6.0,1.5,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,12.1
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607725,-38.960654999999996,Recôncavo,RPGA do Rio Paraguaçu,14.8,0.0,2.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.6
Centro,291345701A,Igrapiúna,Igrapiúna (Centro) - 291345701A,-13.819025,-39.141884999999995,Recôncavo,RPGA do Recôncavo Sul,35.6,7.0,0.2,3.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,47.41
Itaparica,RN-CL-08,Itaparica,Itaparica - RN-CL-08,-12.8865,-38.680859999999996,Recôncavo,RPGA do Recôncavo Sul,3.2,0.2,1.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,10.4
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.606591,-38.969939000000004,Recôncavo,RPGA do Rio Paraguaçu,5.4,0.0,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.6
Góes Calmon,293070901A,Simões Filho,Simões Filho (Góes Calmon) - 293070901A,-12.780101,-38.353331,Recôncavo,RPGA do Recôncavo Norte,9.0,5.2,1.6,4.2,0.0,2.4,0.0,3.4,0.0,0.2,0.0,0.0,0.2,0.0,0.4,26.6
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788344,-38.396864,Recôncavo,RPGA do Recôncavo Norte,4.6,1.2,1.2,4.0,0.8,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,14.2
Amargosa,A434,Amargosa,Amargosa - A434,-13.009468,-39.616881,Recôncavo,RPGA do Recôncavo Sul,2.4,8.2,2.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,14.2
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005278,-38.505833,Recôncavo,RPGA do Recôncavo Norte,11.1,0.0,0.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,0.0,0.4,20.8
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.268161,-38.96642,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.61
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,13.01,1.18,0.2,4.53,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.59,0.0,0.0,19.91
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511055999999996,Recôncavo,RPGA do Recôncavo Norte,10.43,0.4,0.0,6.49,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.2,19.88
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778000000005,Recôncavo,RPGA do Recôncavo Norte,1.38,0.0,0.4,2.57,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.2,8.1
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,0.59,0.0,0.4,2.16,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,0.4,8.69
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,8.86,0.39,0.2,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,12.63
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,8.08,0.79,0.2,1.57,0.0,0.6,0.0,0.59,0.0,0.0,0.0,0.0,1.98,0.0,0.0,13.81
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,0.2,0.4,0.2,2.38,6.9,0.0,0.0,1.59,0.0,0.0,0.0,0.0,1.19,0.0,0.4,13.26
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,2.76,0.0,0.4,1.98,0.0,10.91,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,20.39
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,4.93,1.38,0.0,2.77,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.97,0.0,0.0,11.25
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,16.73,2.36,0.4,1.97,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,3.74,0.0,0.2,26.39
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,10.44,0.39,0.4,1.19,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,2.97,0.0,0.0,16.39
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,7.1,1.18,0.0,2.76,0.4,0.0,0.0,1.39,0.39,0.0,0.0,0.0,1.39,0.0,0.2,14.81
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.930789,-38.517167,Recôncavo,RPGA do Recôncavo Norte,1.78,2.17,0.2,2.38,0.0,7.67,0.0,0.4,0.0,0.0,0.0,0.0,1.58,0.0,0.0,16.18
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647172,-38.539112,Recôncavo,RPGA do Recôncavo Norte,7.12,1.19,0.4,1.4,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.2,0.2,0.2,0.0,12.7
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670228999999999,-38.544112,Recôncavo,RPGA do Recôncavo Norte,1.8,1.6,1.6,1.6,1.6,1.2,0.2,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.96
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,15.32,1.77,0.4,2.58,0.4,0.0,0.0,1.79,0.0,0.0,0.0,0.2,0.0,0.0,0.2,22.66
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.336999999999996,Recôncavo,RPGA do Recôncavo Norte,1.78,0.0,1.58,6.53,0.79,0.2,0.0,1.6,1.39,0.0,0.0,0.0,0.4,0.0,1.0,15.27
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,1.19,2.37,0.0,6.33,4.13,0.2,0.0,0.4,0.0,0.0,0.0,0.0,1.19,0.0,0.6,16.41
Vila Praiana,291920702A,Lauro de Freitas,Lauro de Freitas (Vila Praiana) - 291920702A,-12.901,-38.308,Recôncavo,RPGA do Recôncavo Norte,1.18,0.0,0.0,17.34,0.39,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,19.91
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,1.38,1.78,0.0,4.73,1.57,0.0,0.0,0.79,0.79,0.0,0.0,0.0,0.4,0.0,0.6,12.04
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,4.54,0.2,2.16,8.69,0.2,0.0,0.0,1.8,0.4,0.0,0.0,0.0,0.6,0.0,0.6,19.19
Muritiba,PG-PR-12,Muritiba,Muritiba - PG-PR-12,-12.617894999999999,-39.005590999999995,Recôncavo,RPGA do Rio Paraguaçu,1.2,0.0,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Dois de Julho,291120401A,Gandú,Gandú (Dois de Julho) - 291120401A,-13.741357,-39.48303,Recôncavo,RPGA do Recôncavo Sul,10.63,15.59,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02
Rua São Roque,293290301A,Valença,Valença (Rua São Roque) - 293290301A,-13.363,-39.078,Recôncavo,RPGA do Recôncavo Sul,1.58,4.94,0.59,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,11.06
Lauro de Freitas,RN-CL-09,Lauro de Freitas,Lauro de Freitas - RN-CL-09,-12.88712,-38.29659,Recôncavo,RPGA do Recôncavo Norte,0.6,0.0,0.0,4.6,0.4,0.0,0.0,1.4,0.4,0.0,0.0,0.0,0.4,0.0,1.4,9.21
São Francisco do Conde,RN-CL-07,São Francisco do Conde,São Francisco do Conde - RN-CL-07,-12.611360000000001,-38.68222,Recôncavo,RPGA do Recôncavo Norte,16.6,0.0,0.4,1.0,0.2,0.0,0.2,6.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,24.6
CIA,293070902A,Simões Filho,Simões Filho (CIA) - 293070902A,-12.825461,-38.409051,Recôncavo,RPGA do Recôncavo Norte,11.6,1.6,0.2,5.0,1.0,0.0,0.0,1.8,0.6,0.0,0.0,0.0,0.2,0.0,0.2,22.2
PC Fazenda Jurema,51346050,Rafael Jambeiro,Rafael Jambeiro (PC Fazenda Jurema) - 51346050,-12.4881,-39.6981,Recôncavo,RPGA do Rio Paraguaçu,2.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.01
PC Argoim,51351000,Rafael Jambeiro,Rafael Jambeiro (PC Argoim) - 51351000,-12.5867,-39.5217,Recôncavo,RPGA do Rio Paraguaçu,2.0,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,4.4
PC Rio Paratigi,51370000,Santo Estevão,Santo Estevão (PC Rio Paratigi) - 51370000,-12.51503,-39.38272,Recôncavo,RPGA do Rio Paraguaçu,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,5.2
Itiruçu,A407,Itiruçu,Itiruçu - A407,-13.52629,-40.12055,Sudoeste,RPGA do Recôncavo Sul,1.8,6.2,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
Lagoa,291760701A,Jaguaquara,Jaguaquara (Lagoa) - 291760701A,-13.523228,-39.968685,Sudoeste,RPGA do Recôncavo Sul,3.4,3.8,1.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Entroncamento,291760702A,Jaguaquara,Jaguaquara (Entroncamento) - 291760702A,-13.509869,-40.05461,Sudoeste,RPGA do Recôncavo Sul,2.2,4.8,6.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
Brumado,A433,Brumado,Brumado - A433,-14.181885999999999,-41.672281,Sudoeste,RPGA do Rio de Contas,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
Clerolândia,291640101A,Itapetinga,Itapetinga (Clerolândia) - 291640101A,-15.243,-40.221,Sudoeste,RPGA do Rio Pardo,2.78,20.57,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.55
Recreio,293330702A,Vitória da Conquista,Vitória da Conquista (Recreio) - 293330702A,-14.860999999999999,-40.841,Sudoeste,RPGA do Rio Pardo,1.2,0.99,0.2,0.0,24.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19
Patagônia,293330704A,Vitória da Conquista,Vitória da Conquista (Patagônia) - 293330704A,-14.87,-40.863,Sudoeste,RPGA do Rio Pardo,0.4,1.18,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18
Barcelar,293330705A,Vitória da Conquista,Vitória da Conquista (Barcelar) - 293330705A,-14.838,-40.856,Sudoeste,RPGA do Rio Pardo,1.4,2.18,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92
Lomantão,293330703A,Vitória da Conquista,Vitória da Conquista (Lomantão) - 293330703A,-14.87,-40.827,Sudoeste,RPGA do Rio Pardo,1.59,1.2,0.0,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31
Jaguaquara,RS-CL-01,Jaguaquara,Jaguaquara - RS-CL-01,-13.573054999999998,-39.940833000000005,Sudoeste,RPGA do Recôncavo Sul,4.25,5.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Vitória da Conquista,PA-CL-01,Vitória da Conquista,Vitória da Conquista - PA-CL-01,-14.886110999999998,-40.800833000000004,Sudoeste,RPGA do Rio Pardo,2.0,1.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25
Cândido Sales,290670901C,Cândido Sales,Cândido Sales - 290670901C,-15.5101,-41.1519,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz Nanci,53880000,Camacã,Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,Sul,RPGA do Rio Pardo,7.6,16.8,4.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6
PCH Cach. da Lixa M,55354000,Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,-17.06703,-40.068619,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",8.2,18.0,8.4,0.2,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.21
PCH Colino II M,55355600,Vereda,Vereda (PCH Colino II M) - 55355600,-17.071260000000002,-40.154740000000004,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",24.25,24.75,7.5,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5
Ilhéus,A410,Ilhéus,Ilhéus - A410,-14.658803,-39.181438,Sul,RPGA do Leste,8.4,22.2,1.2,15.6,3.6,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.4,0.2,0.2,52.81
Itajuípe,,Itajuípe,Itajuípe,-14.6744,-39.3769,Sul,RPGA do Leste,0.6,26.2,15.2,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2
Caravelas,83498,Caravelas,Caravelas - 83498,-17.739167000000002,-39.258333,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",25.5,72.4,9.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,107.9
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.208644,-39.598562,Sul,RPGA do Rio de Contas,3.4,5.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,10.0
Guaratinga,83446,Guaratinga,Guaratinga - 83446,-16.58,-39.78,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.5,16.8,1.1,0.0,0.0,1.6,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1
Centro,290580001A,Camamu,Camamu (Centro) - 290580001A,-13.943506,-39.102509999999995,Sul,RPGA do Recôncavo Sul,7.4,8.4,0.4,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,21.2
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.6,25.8,1.6,0.0,0.2,1.8,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.186829999999999,-39.48713,Sul,RPGA do Leste,6.8,14.8,3.6,0.2,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.027541,-39.534994,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",27.6,49.8,22.6,0.0,0.0,0.0,1.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,101.61
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,2.6,18.6,1.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.42976,-39.332759,Sul,RPGA do Leste,6.6,10.6,5.8,12.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2
Mascote,53950000,Mascote,Mascote - 53950000,-15.565560999999999,-39.302756,Sul,RPGA do Rio Pardo,6.2,33.6,6.8,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.8,59.6
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",9.5,26.5,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75
Eunápolis,FB-CL-01,Eunápolis,Eunápolis - FB-CL-01,-16.290554999999998,-39.579722,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",44.25,31.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.25
CPLAC,LE-CL-01,Ilhéus,Ilhéus (CPLAC) - LE-CL-01,-14.801839999999999,-39.181444,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro,290560201A,Camacan,Camacan (Centro) - 290560201A,-15.422225,-39.494984,Sul,RPGA do Rio Pardo,0.8,1.2,1.2,1.0,1.2,1.2,1.0,0.8,0.8,0.8,0.2,0.0,0.0,0.0,0.0,10.21
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859179000000001,-38.878025,Sul,RPGA do Rio Jequitinhonha,17.51,53.74,39.39,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.87
São João do Panelinha,290560202A,Camacan,Camacan (São João do Panelinha) - 290560202A,-15.375278,-39.489984,Sul,RPGA do Rio Pardo,5.69,19.16,1.39,1.78,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1
Centro,290560203A,Camacan,Camacan (Centro) - 290560203A,-15.416389,-39.493873,Sul,RPGA do Rio Pardo,6.28,14.82,2.0,3.97,1.18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.45
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797213000000001,-39.046079999999996,Sul,RPGA do Leste,26.97,41.19,0.6,35.42,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.36
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789157999999999,-39.048858,Sul,RPGA do Leste,26.38,37.21,0.0,38.05,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.79
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.806379999999999,-39.27803,Sul,RPGA do Leste,2.4,24.07,3.16,1.02,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,31.84
Nova Ferradas,291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857213,-39.346922,Sul,RPGA do Leste,8.68,24.26,15.36,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",13.18,30.79,3.78,13.88,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.24
Posto da Mata,292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",13.37,34.47,4.92,10.27,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.01
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",8.85,26.52,24.2,2.77,0.0,0.0,0.0,0.78,1.19,0.2,0.0,0.0,0.0,0.0,0.0,64.51
Centro,291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,2.18,24.04,5.7,0.8,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.91
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089181,-39.615546,Sul,RPGA do Rio Jequitinhonha,44.93,45.9,1.79,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.83
Jusante,54945000,Itapebi,Itapebi (Jusante) - 54945000,-15.949206,-39.5225,Sul,RPGA do Rio Jequitinhonha,14.2,44.6,3.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,70.4
Ferradas,53170000,Itabuna,Itabuna (Ferradas) - 53170000,-14.8439,-39.3311,Sul,RPGA do Leste,10.6,28.4,19.8,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,60.41
Morpará,46360000,Morpará,Morpará - 46360000,-11.5583,-43.2825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bom Jesus da Lapa,83288,Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,-13.251389000000001,-43.405278,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Rita de Cássia,83076,Santa Rita de Cássia,Santa Rita de Cássia - 83076,-11.016667,-44.516667,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paratinga,292370401U,Paratinga,Paratinga - 292370401U,-12.678908,-43.180265999999996,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macaúbas,PM-CL-02,Macaúbas,Macaúbas - PM-CL-02,-13.07953,-42.6957,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faz. Macambira,46675000,Cotegipe,Cotegipe (Faz. Macambira) - 46675000,-11.6106,-44.1567,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
