nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_06_21,02_06_21,03_06_21,04_06_21,05_06_21,06_06_21,07_06_21,08_06_21,09_06_21,10_06_21,11_06_21,12_06_21,13_06_21,14_06_21,15_06_21,16_06_21,17_06_21,18_06_21,19_06_21,20_06_21,21_06_21,22_06_21,23_06_21,24_06_21,25_06_21,total
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.514,-39.934,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,2.2
Santo Antônio/Porto,PG-FR-02,Lençóis,Lençóis (Santo Antônio/Porto) - PG-FR-02,-12.493,-41.33,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.0,0.0,0.0,20.2,0.8,6.0,0.6,0.0,0.6,3.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.01
Usina Mucugê,PG-FR-20,Mucugê,Mucugê (Usina Mucugê) - PG-FR-20,-13.009,-41.371,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,6.6,0.2,4.0,2.2,0.0,6.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,21.21
Itaberaba,291470301C,Itaberaba,Itaberaba - 291470301C,-12.458,-40.202,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.0,6.2,3.0,9.0,0.2,0.0,6.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4
Barro Alto,290323501C,Barro Alto,Barro Alto - 290323501C,-11.812,-41.901,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Chorrochó,290770701C,Chorrochó,Chorrochó - 290770701C,-8.984,-39.118,Nordeste,RPGA dos Rios Macururé e Curaçá,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,2.81
Cipó,83192,Cipó,Cipó - 83192,-11.083,-38.517,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.4,1.0,5.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.6,1.0,1.8,0.0,47.0
Jacobina,83186,Jacobina,Jacobina - 83186,-11.173,-40.534,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.4,0.5,11.8,1.4,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,23.71
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.162,-40.554,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.6,7.2,0.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,14.2
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174,-40.518,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.6,1.2,11.6,2.4,1.8,0.8,0.2,0.0,0.0,0.0,0.0,2.8,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.6,0.2,28.8
