nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_12_21,02_12_21,03_12_21,04_12_21,05_12_21,06_12_21,07_12_21,08_12_21,09_12_21,10_12_21,11_12_21,12_12_21,13_12_21,14_12_21,15_12_21,16_12_21,17_12_21,18_12_21,19_12_21,20_12_21,21_12_21,22_12_21,23_12_21,24_12_21,25_12_21,26_12_21,27_12_21,total
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,5.6,11.0,2.6,24.6,0.4,28.8,1.0,33.2,23.8,27.6,15.0,41.4,3.2,0.0,0.0,0.0,0.0,0.0,0.2,3.0,30.4,10.2,55.8,7.0,10.8,43.2,64.8,443.6
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,1.2,20.8,4.8,22.2,0.0,4.2,0.2,8.2,37.0,35.0,9.8,9.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,13.4,0.2,88.8,13.8,3.2,74.4,67.0,415.0
Fazenda Barcelona,GR-CL-03,Formosa do Rio Preto,Formosa do Rio Preto (Fazenda Barcelona) - GR-CL-03,-11.59139,-46.02194,Oeste,RPGA do Rio Grande,17.8,24.8,0.2,7.6,6.4,0.0,0.0,1.8,4.4,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,5.8,0.0,0.8,0.6,72.6
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,11.4,0.4,43.4,0.0,0.0,9.0,21.0,16.0,36.0,4.2,0.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,36.8,14.4,12.0,38.6,19.0,42.8,41.4,376.8
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,19.6,2.2,34.2,0.2,0.0,15.4,8.4,21.6,30.6,5.8,1.6,36.4,0.0,0.0,0.0,0.0,0.0,0.0,5.4,46.8,14.0,15.4,49.8,20.8,41.6,43.4,413.21
PCH Sítio Grande-J,46453500,São Desidério,São Desidério (PCH Sítio Grande-J) - 46453500,-12.4286,-45.1528,Oeste,RPGA do Rio Grande,0.0,5.6,0.0,18.6,0.0,31.0,4.4,16.6,24.2,10.8,11.2,17.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,21.6,8.8,34.8,1.2,12.6,25.8,34.6,281.6
Ponte do Fortunato,CA-FR-01,Cocos,Cocos (Ponte do Fortunato) - CA-FR-01,-14.641237,-45.503601,Oeste,RPGA do Rio Carinhanha,0.0,0.0,5.6,13.0,39.0,0.8,5.0,9.0,22.4,29.2,21.4,6.8,2.8,5.6,9.4,2.0,21.4,0.6,10.0,0.4,17.2,0.8,5.8,80.2,20.2,15.2,1.0,344.8
Fazenda Morete,CT-FR-01,Correntina,Correntina (Fazenda Morete) - CT-FR-01,-13.223149,-45.154136,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,16.0,0.2,22.2,1.0,0.0,12.4,29.2,13.4,8.2,27.2,18.8,22.4,25.6,50.0,0.0,2.8,0.0,0.0,21.0,6.6,26.6,4.8,38.4,19.0,32.4,60.4,458.6
Fazenda Lagoa do Casamento,CT-FR-08,Cocos,Cocos (Fazenda Lagoa do Casamento) - CT-FR-08,-14.39901,-45.520267,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,5.0,1.4,5.4,59.2,9.4,1.2,10.8,13.4,36.0,10.6,12.2,29.2,22.2,19.2,0.0,8.6,1.8,0.6,32.8,33.0,4.6,0.0,104.6,37.2,4.8,11.2,474.4
Fazenda Vereda Nova,GR-FR-20,São Desidério,São Desidério (Fazenda Vereda Nova) - GR-FR-20,-12.833418,-45.307751,Oeste,RPGA do Rio Grande,0.0,6.2,0.0,68.8,0.2,46.2,13.8,18.8,39.6,23.8,11.8,18.0,6.8,1.0,0.2,23.4,7.8,0.0,0.0,2.4,34.2,10.0,17.2,14.8,33.4,52.4,34.0,484.8
Fazenda Vale do Urso,GR-FR-23,Luís Eduardo Magalhães,Luís Eduardo Magalhães (Fazenda Vale do Urso) - GR-FR-23,-11.905058,-45.698311,Oeste,RPGA do Rio Grande,0.0,27.6,6.4,22.4,0.0,0.0,0.0,5.4,29.0,48.2,6.6,10.8,0.2,0.0,0.0,0.0,0.0,0.0,3.6,3.0,23.6,5.2,110.4,20.0,6.0,9.0,16.6,354.0
Rio de Pedras,46520000,Barreiras,Barreiras (Rio de Pedras) - 46520000,-12.1944,-45.4897,Oeste,RPGA do Rio Grande,0.0,15.2,0.6,58.2,0.0,0.0,0.0,21.4,48.0,68.2,13.4,6.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,86.0,12.4,65.4,6.4,8.2,34.4,86.2,533.4
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344,-38.458111,Recôncavo,RPGA do Recôncavo Norte,24.0,0.0,0.0,0.2,36.0,22.4,0.0,0.0,2.4,11.2,9.4,2.2,0.0,0.0,0.8,1.2,14.6,0.0,1.4,0.0,7.0,24.8,0.0,45.4,69.4,59.8,0.2,332.41
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,18.8,0.0,0.0,0.0,42.4,55.2,0.2,0.0,0.4,2.0,0.0,0.0,0.0,1.2,1.6,1.8,0.4,0.0,0.0,9.4,0.2,19.2,0.2,1.6,52.6,33.0,1.8,242.0
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370136,Recôncavo,RPGA do Recôncavo Norte,22.2,0.2,0.0,0.0,23.4,57.6,0.4,0.6,0.0,0.0,0.2,0.0,0.0,5.8,0.8,0.0,2.8,0.0,0.6,4.0,0.4,24.2,0.2,1.8,39.8,40.4,0.0,225.4
Cruz das Almas,83222,Cruz das Almas,Cruz das Almas - 83222,-12.666667,-39.083333,Recôncavo,RPGA do Rio Paraguaçu,4.8,0.0,0.0,29.2,1.7,0.0,0.0,1.8,0.0,54.2,0.5,14.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,3.2,18.0,0.9,23.0,45.2,42.4,0.0,247.71
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607725,-38.960655,Recôncavo,RPGA do Rio Paraguaçu,6.2,0.0,0.0,0.0,2.4,2.0,0.0,0.0,0.0,7.0,12.4,0.2,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.2,31.8,0.4,11.6,78.6,18.2,5.4,191.4
Centro,291345701A,Igrapiúna,Igrapiúna (Centro) - 291345701A,-13.819025,-39.141885,Recôncavo,RPGA do Recôncavo Sul,0.0,1.6,0.2,23.6,9.0,0.2,0.0,0.0,1.8,55.8,75.4,0.4,0.8,1.4,0.4,1.0,15.0,7.6,0.0,6.8,3.2,39.8,13.4,2.0,59.8,124.6,0.6,444.41
Itaparica,RN-CL-08,Itaparica,Itaparica - RN-CL-08,-12.8865,-38.68086,Recôncavo,RPGA do Recôncavo Sul,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.606591,-38.969939,Recôncavo,RPGA do Rio Paraguaçu,3.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.4,6.0,0.2,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.8,28.6,0.6,8.6,72.0,31.4,5.2,181.8
Góes Calmon,293070901A,Simões Filho,Simões Filho (Góes Calmon) - 293070901A,-12.780101,-38.353331,Recôncavo,RPGA do Recôncavo Norte,13.4,0.0,0.0,0.0,74.2,19.2,0.0,0.0,0.0,3.6,1.0,3.4,0.0,0.0,0.4,4.6,10.2,0.2,0.6,0.0,3.6,19.0,0.2,0.0,68.0,14.2,0.4,236.2
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788344,-38.396864,Recôncavo,RPGA do Recôncavo Norte,11.0,0.0,0.0,0.0,55.8,18.0,0.0,0.0,1.8,20.0,1.4,0.8,0.0,0.0,2.4,2.0,21.4,3.4,0.0,0.2,1.0,35.2,0.0,0.0,48.2,14.6,0.0,237.2
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005278,-38.505833,Recôncavo,RPGA do Recôncavo Norte,3.7,0.0,0.2,18.8,25.0,39.6,0.0,0.0,0.0,88.3,0.4,0.0,0.0,0.0,20.2,5.2,2.2,2.6,0.0,3.0,0.7,47.6,0.3,9.2,42.2,66.6,0.2,376.0
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.268161,-38.96642,Recôncavo,RPGA do Rio Paraguaçu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,9.4,0.0,22.2
Centro,292740802A,Salvador,Salvador (Centro) - 292740802A,-12.97821,-38.515945,Recôncavo,RPGA do Recôncavo Norte,1.78,1.58,0.2,3.55,25.4,20.26,0.2,0.0,0.0,20.27,2.8,0.0,0.0,0.4,2.17,5.84,0.99,0.0,0.0,4.73,1.58,28.98,0.2,2.38,17.4,32.26,0.2,173.17
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,14.88,2.37,0.0,0.0,48.31,25.05,0.0,0.0,0.0,0.59,0.99,0.39,0.0,0.2,7.35,0.79,5.32,0.0,0.6,0.0,0.0,19.13,0.0,1.39,46.87,34.23,0.0,208.46
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511056,Recôncavo,RPGA do Recôncavo Norte,2.36,0.0,0.0,10.63,22.43,35.99,0.0,0.0,0.0,81.57,0.2,0.0,0.0,2.36,13.07,4.73,1.58,2.76,0.2,5.32,0.6,46.49,0.0,5.54,32.07,55.48,0.2,323.58
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778,Recôncavo,RPGA do Recôncavo Norte,17.63,0.0,0.0,3.74,24.99,43.67,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,21.88,0.0,3.36,46.64,74.58,0.2,242.2
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,20.56,0.0,0.0,6.7,21.04,75.67,0.2,0.0,0.0,9.43,0.0,0.0,0.0,0.0,4.13,2.95,2.36,0.0,0.0,2.37,0.6,27.8,0.0,2.17,46.26,76.58,0.0,298.82
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,19.65,0.0,0.0,0.39,30.12,24.03,0.0,0.0,0.0,13.19,0.2,0.0,0.0,1.38,0.99,0.79,1.96,1.39,0.2,0.0,0.0,15.58,0.0,30.84,62.07,49.42,0.0,252.2
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,14.41,0.0,0.0,3.16,34.86,27.76,0.0,0.0,0.2,19.18,0.4,0.0,0.0,2.97,1.78,0.4,1.97,0.59,0.0,5.9,0.2,39.42,0.0,8.09,52.34,84.11,0.2,297.94
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,14.46,1.0,0.0,2.76,24.91,63.53,0.0,0.0,4.73,10.84,0.0,0.0,0.0,6.3,0.79,2.17,0.6,0.0,0.0,4.53,0.4,19.14,0.0,19.93,40.13,35.96,39.05,291.23
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,3.74,0.0,0.0,7.9,42.81,42.43,0.0,0.0,0.0,23.02,0.0,0.0,0.0,0.2,0.79,2.37,2.57,0.59,0.0,2.16,0.6,60.22,0.0,6.12,42.7,69.62,0.0,307.85
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,17.9,0.0,0.0,8.1,15.34,41.13,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.2,0.4,0.0,2.4,0.0,0.2,0.0,0.6,0.6,0.2,5.12,48.81,73.5,0.2,220.7
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,19.37,0.4,0.0,2.96,37.97,34.14,0.0,0.0,0.0,7.7,0.39,0.0,0.0,0.39,0.79,0.59,4.92,1.77,0.0,0.0,0.79,27.96,0.0,39.74,63.35,73.78,0.0,317.01
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,25.24,0.79,0.0,3.55,14.78,39.71,0.0,0.0,5.56,2.8,1.6,0.8,0.0,0.0,0.4,0.8,3.2,1.2,0.8,0.0,7.59,3.2,2.8,38.42,61.63,60.22,0.0,275.1
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,21.32,0.0,0.0,0.2,22.43,21.46,0.0,0.0,1.18,24.2,3.94,0.2,0.0,0.0,2.17,0.79,7.09,0.2,0.0,0.0,10.64,25.61,0.0,17.38,57.23,44.35,0.0,260.39
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.930789,-38.517167,Recôncavo,RPGA do Recôncavo Norte,13.9,0.0,0.0,0.4,49.43,21.07,0.0,0.0,3.35,1.76,7.48,0.4,0.0,0.0,5.7,4.72,9.46,1.97,0.0,0.79,0.0,46.23,0.0,2.58,44.68,74.35,0.0,288.28
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647172,-38.539112,Recôncavo,RPGA do Recôncavo Norte,4.51,0.2,0.0,0.0,47.31,2.76,0.0,0.0,0.0,1.97,1.21,0.0,0.0,0.0,0.0,0.0,14.47,0.0,2.77,0.0,2.96,6.14,0.2,1.4,35.53,17.18,0.0,138.61
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,3.15,0.0,0.0,0.0,11.23,12.11,0.4,0.0,0.0,12.17,3.74,0.0,0.0,0.0,0.2,0.0,19.49,0.0,6.5,0.0,0.59,16.38,0.0,0.6,43.41,22.45,0.0,152.42
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,4.34,0.0,0.0,0.0,26.95,5.73,1.78,0.0,0.0,13.77,0.4,0.0,0.0,0.0,0.0,0.0,25.24,0.0,0.79,0.0,1.18,10.67,0.0,0.6,40.07,21.86,0.0,153.38
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.337,Recôncavo,RPGA do Recôncavo Norte,53.88,0.0,0.0,0.0,28.73,31.29,0.0,0.0,0.59,2.17,0.98,0.0,0.0,1.38,1.57,2.76,0.6,5.93,0.0,0.0,0.0,16.89,0.0,0.0,48.08,17.39,0.0,212.24
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,3.97,0.2,0.0,0.6,30.38,37.43,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,3.94,1.78,0.59,0.0,0.0,5.51,0.0,17.27,0.0,0.2,50.95,26.97,0.0,181.59
Vila Praiana,291920702A,Lauro de Freitas,Lauro de Freitas (Vila Praiana) - 291920702A,-12.901,-38.308,Recôncavo,RPGA do Recôncavo Norte,21.08,0.0,0.0,3.97,32.14,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,1.38,0.0,0.0,0.0,0.0,11.9,0.0,0.0,55.71,28.54,0.2,192.86
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,55.82,0.0,0.0,0.98,39.8,41.11,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,1.18,4.74,0.0,0.0,2.56,0.0,11.38,0.0,2.39,53.91,22.19,0.0,242.36
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,16.34,0.2,0.0,0.0,38.97,30.74,0.0,0.0,4.33,3.16,1.78,0.0,0.0,0.99,1.97,6.32,2.37,11.02,0.0,0.0,0.79,14.07,0.0,0.0,48.82,21.63,0.0,203.5
Muritiba,PG-PR-12,Muritiba,Muritiba - PG-PR-12,-12.617895,-39.005591,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.8,0.4,0.0,0.2,0.0,11.2,4.2,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.2,1.6,0.6,6.4,46.2,27.8,3.0,115.61
Dois de Julho,291120401A,Gandú,Gandú (Dois de Julho) - 291120401A,-13.741357,-39.48303,Recôncavo,RPGA do Recôncavo Sul,1.19,4.58,0.0,37.41,1.57,0.4,0.0,0.0,1.39,3.77,38.96,0.2,0.0,0.0,24.8,0.6,2.77,4.15,0.0,0.0,5.13,24.99,0.0,24.8,35.67,113.14,1.38,326.9
Rua São Roque,293290301A,Valença,Valença (Rua São Roque) - 293290301A,-13.363,-39.078,Recôncavo,RPGA do Recôncavo Sul,1.77,0.0,0.2,10.29,31.28,5.92,0.2,0.2,0.4,28.79,23.68,2.96,0.0,0.0,11.62,5.7,1.58,1.58,0.2,0.0,14.36,55.48,0.0,10.84,67.88,103.42,0.4,378.75
São Francisco do Conde,RN-CL-07,São Francisco do Conde,São Francisco do Conde - RN-CL-07,-12.61136,-38.68222,Recôncavo,RPGA do Recôncavo Norte,4.2,0.0,0.0,0.0,7.0,3.2,26.4,0.0,0.0,0.0,6.0,5.2,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,4.0,7.6,0.0,8.0,53.8,26.4,1.2,174.6
CIA,293070902A,Simões Filho,Simões Filho (CIA) - 293070902A,-12.825461,-38.409051,Recôncavo,RPGA do Recôncavo Norte,11.2,0.0,0.0,0.0,38.0,25.8,0.0,0.0,0.0,31.2,2.8,3.8,0.0,0.2,2.0,2.6,8.8,0.0,0.0,0.0,17.6,45.6,0.0,0.0,49.8,19.6,0.0,259.0
PC Fazenda Jurema,51346050,Rafael Jambeiro,Rafael Jambeiro (PC Fazenda Jurema) - 51346050,-12.4881,-39.6981,Recôncavo,RPGA do Rio Paraguaçu,22.8,0.0,0.0,1.2,0.4,5.8,0.6,0.0,0.0,3.2,0.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,2.4,18.2,23.4,34.2,0.0,137.2
PC Argoim,51351000,Rafael Jambeiro,Rafael Jambeiro (PC Argoim) - 51351000,-12.5867,-39.5217,Recôncavo,RPGA do Rio Paraguaçu,13.4,0.2,0.2,2.4,0.4,3.4,5.2,0.0,0.0,13.6,2.2,0.6,0.0,0.0,0.6,0.2,1.2,0.0,13.4,0.0,0.4,28.6,0.8,12.8,25.2,35.6,0.0,160.4
PC Rio Paratigi,51370000,Santo Estevão,Santo Estevão (PC Rio Paratigi) - 51370000,-12.51503,-39.38272,Recôncavo,RPGA do Rio Paraguaçu,4.2,0.4,0.0,0.4,0.2,4.4,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.6,21.4,13.6,25.8,25.0,0.4,122.61
Cândido Sales,53620000,Cândido Sales,Cândido Sales - 53620000,-15.512891,-41.236629,Sudoeste,RPGA do Rio Pardo,11.8,2.8,3.0,31.4,2.4,1.8,20.4,4.4,14.4,0.8,43.4,1.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,4.0,10.0,5.2,0.4,14.2,14.6,4.4,2.0,194.6
Lagoa,291760701A,Jaguaquara,Jaguaquara (Lagoa) - 291760701A,-13.523228,-39.968685,Sudoeste,RPGA do Recôncavo Sul,0.0,43.4,7.8,101.6,0.4,11.0,0.2,0.0,0.6,2.8,21.6,2.0,0.2,0.0,0.0,0.0,0.6,0.8,25.8,1.0,5.2,12.8,2.2,4.2,17.6,126.8,1.0,389.6
Entroncamento,291760702A,Jaguaquara,Jaguaquara (Entroncamento) - 291760702A,-13.509869,-40.05461,Sudoeste,RPGA do Recôncavo Sul,0.2,28.0,0.2,92.0,0.2,0.8,0.4,0.0,0.8,1.6,38.6,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,60.8,21.0,0.2,5.0,24.2,127.0,0.0,402.0
Vitória da Conquista,83344,Vitória da Conquista,Vitória da Conquista - 83344,-14.883333,-40.8,Sudoeste,RPGA do Rio Pardo,0.0,3.9,0.0,23.2,3.4,27.3,15.2,11.8,25.4,1.4,36.0,28.6,0.0,0.0,0.0,0.0,0.0,9.6,0.0,23.2,2.4,7.4,7.7,10.7,89.8,24.6,15.6,367.2
Recreio,293330702A,Vitória da Conquista,Vitória da Conquista (Recreio) - 293330702A,-14.861,-40.841,Sudoeste,RPGA do Rio Pardo,0.0,9.46,0.0,17.72,0.98,70.66,0.2,8.3,29.26,1.0,43.09,1.59,0.0,0.0,0.0,0.0,0.0,7.47,0.0,22.32,2.18,9.46,5.52,16.37,75.57,20.32,15.97,357.44
Patagônia,293330704A,Vitória da Conquista,Vitória da Conquista (Patagônia) - 293330704A,-14.87,-40.863,Sudoeste,RPGA do Rio Pardo,0.0,7.33,0.0,27.18,2.57,75.53,0.0,14.21,34.67,0.4,44.87,4.34,0.0,0.0,0.0,0.0,0.0,0.59,0.0,42.92,2.76,7.1,2.99,14.01,100.49,17.85,12.82,412.64
Barcelar,293330705A,Vitória da Conquista,Vitória da Conquista (Barcelar) - 293330705A,-14.838,-40.856,Sudoeste,RPGA do Rio Pardo,0.0,15.07,0.0,32.7,8.86,62.18,0.2,7.52,31.05,1.99,24.58,3.94,0.0,0.0,0.0,2.39,0.0,0.0,0.0,31.15,0.4,12.66,11.83,11.28,83.93,22.06,13.07,376.86
Lomantão,293330703A,Vitória da Conquista,Vitória da Conquista (Lomantão) - 293330703A,-14.87,-40.827,Sudoeste,RPGA do Rio Pardo,0.0,7.88,0.0,13.95,0.4,30.87,0.2,8.28,20.96,1.2,39.04,3.74,0.0,0.0,0.0,0.0,0.0,7.49,0.2,18.95,1.78,6.12,5.32,13.38,67.34,17.98,13.01,278.09
Fz Nanci,53880000,Camacã,Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,Sul,RPGA do Rio Pardo,0.8,29.0,8.4,43.8,30.0,1.8,10.0,9.2,26.6,17.2,2.6,5.0,1.2,0.0,0.0,20.0,0.0,0.6,0.0,4.6,5.6,10.4,0.2,29.0,70.4,17.8,7.0,351.2
PCH Cach. da Lixa M,55354000,Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,-17.06703,-40.068619,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",17.4,39.8,0.6,0.4,0.6,0.2,0.4,4.8,1.8,2.2,0.8,1.2,0.8,0.2,0.2,1.2,0.2,0.2,0.0,4.4,1.6,0.6,0.8,3.0,1.4,0.2,1.0,86.01
Itajuípe,,Itajuípe,Itajuípe,-14.6744,-39.3769,Sul,RPGA do Leste,0.0,0.2,0.0,20.4,10.4,23.0,2.6,4.6,0.8,0.8,10.4,10.8,5.2,2.4,0.4,0.6,0.2,0.6,2.0,2.4,2.0,2.8,13.6,11.8,22.4,32.6,27.0,210.0
Caravelas,83498,Caravelas,Caravelas - 83498,-17.739167,-39.258333,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.8,5.8,12.0,44.2,53.7,3.4,0.0,112.2,33.0,13.8,4.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,44.6,7.2,6.6,0.4,117.9,30.2,2.0,0.8,494.21
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.208644,-39.598562,Sul,RPGA do Rio de Contas,0.2,10.8,9.8,35.8,4.4,0.0,7.8,0.0,0.0,1.0,27.4,4.6,0.0,0.0,1.0,0.4,4.2,55.6,2.2,3.6,2.8,18.6,2.6,5.8,70.6,118.8,0.0,388.0
Centro,290580001A,Camamu,Camamu (Centro) - 290580001A,-13.943506,-39.10251,Sul,RPGA do Recôncavo Sul,0.0,0.4,0.0,21.6,0.0,0.2,0.0,0.0,0.2,65.2,27.2,0.8,0.0,0.6,8.8,1.2,12.4,7.0,0.0,3.6,5.8,65.0,4.8,6.0,46.4,133.0,0.6,410.8
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",4.6,1.0,26.4,2.0,13.4,5.0,1.4,29.6,116.4,62.8,16.6,0.2,0.0,0.2,3.0,26.6,0.0,0.0,0.0,40.0,11.2,13.2,14.0,39.2,32.6,4.6,8.4,472.41
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.18683,-39.48713,Sul,RPGA do Leste,0.0,4.0,9.6,33.2,5.0,9.8,0.0,9.8,4.4,28.8,13.4,0.2,0.2,0.0,4.0,13.6,0.0,13.6,0.0,6.8,6.6,19.6,0.4,7.4,96.0,20.4,12.8,319.6
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.027541,-39.534994,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.2,18.0,10.6,0.4,9.2,6.0,0.2,315.6,79.8,87.6,10.0,0.2,1.0,0.0,0.0,13.6,0.0,0.0,0.0,41.4,18.4,11.2,7.6,82.2,59.0,4.8,4.8,781.81
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,0.4,37.8,11.8,74.2,7.8,0.8,5.6,8.6,15.2,50.4,11.8,1.2,0.0,0.0,0.0,5.4,1.0,0.0,0.0,6.0,2.4,25.6,0.0,15.2,101.8,18.4,5.4,406.8
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.42976,-39.332759,Sul,RPGA do Leste,0.2,9.2,27.2,42.6,14.0,1.8,4.8,18.8,4.6,54.8,14.8,1.2,0.0,0.6,2.8,10.6,0.0,10.0,0.0,4.2,7.0,13.0,0.2,7.4,46.6,31.6,16.8,344.8
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",6.0,45.5,0.75,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,53.5
