nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_11_21,02_11_21,03_11_21,04_11_21,05_11_21,06_11_21,07_11_21,08_11_21,total
Entroncamento,291760702A,Jaguaquara,Jaguaquara (Entroncamento) - 291760702A,-13.509869,-40.05461,Sudoeste,RPGA do Recôncavo Sul,0.0,0.0,0.0,1.4,89.2,9.0,9.8,25.2,134.6
Vitória da Conquista,83344,Vitória da Conquista,Vitória da Conquista - 83344,-14.883333,-40.8,Sudoeste,RPGA do Rio Pardo,0.0,0.4,10.9,0.6,26.1,41.2,0.0,0.2,79.4
Clerolândia,291640101A,Itapetinga,Itapetinga (Clerolândia) - 291640101A,-15.243,-40.221,Sudoeste,RPGA do Rio Pardo,0.0,0.2,12.44,0.0,66.01,23.86,0.2,0.0,102.72
Recreio,293330702A,Vitória da Conquista,Vitória da Conquista (Recreio) - 293330702A,-14.861,-40.841,Sudoeste,RPGA do Rio Pardo,0.2,0.0,8.91,0.2,26.01,30.22,0.0,5.33,70.87
Patagônia,293330704A,Vitória da Conquista,Vitória da Conquista (Patagônia) - 293330704A,-14.87,-40.863,Sudoeste,RPGA do Rio Pardo,0.0,0.0,12.02,0.0,24.01,31.29,0.2,10.24,77.76
Barcelar,293330705A,Vitória da Conquista,Vitória da Conquista (Barcelar) - 293330705A,-14.838,-40.856,Sudoeste,RPGA do Rio Pardo,0.0,0.0,7.87,1.02,29.54,32.9,0.0,12.83,84.16
Lomantão,293330703A,Vitória da Conquista,Vitória da Conquista (Lomantão) - 293330703A,-14.87,-40.827,Sudoeste,RPGA do Rio Pardo,1.77,0.0,8.65,0.2,21.25,21.08,0.2,1.97,55.12
Fz Nanci,53880000,Camacã,Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,Sul,RPGA do Rio Pardo,2.0,0.0,6.6,2.0,6.8,19.2,0.2,1.2,38.0
PCH Cach. da Lixa M,55354000,Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,-17.06703,-40.068619,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.2,3.4,4.6,11.2,0.0,9.2,0.0,0.0,28.6
PCH Colino II M,55355600,Vereda,Vereda (PCH Colino II M) - 55355600,-17.07126,-40.15474,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1.5,4.25,12.75,11.25,0.25,37.0,0.0,0.0,67.0
Itajuípe,,Itajuípe,Itajuípe,-14.6744,-39.3769,Sul,RPGA do Leste,3.6,0.4,0.0,0.0,0.0,0.2,0.0,0.2,4.4
Caravelas,83498,Caravelas,Caravelas - 83498,-17.739167,-39.258333,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",3.2,17.8,1.0,0.0,0.0,0.0,0.0,0.0,22.0
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.208644,-39.598562,Sul,RPGA do Rio de Contas,8.0,3.0,0.8,0.6,20.0,14.8,13.6,7.8,68.61
Guaratinga,83446,Guaratinga,Guaratinga - 83446,-16.58,-39.78,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,17.0,5.4,28.3,4.4,15.4,0.0,0.0,70.5
Centro,290580001A,Camamu,Camamu (Centro) - 290580001A,-13.943506,-39.10251,Sul,RPGA do Recôncavo Sul,0.8,0.4,1.0,11.4,16.0,58.0,0.0,88.2,175.8
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,20.0,6.4,30.2,5.0,22.8,0.0,0.0,84.4
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.18683,-39.48713,Sul,RPGA do Leste,3.8,5.6,2.8,0.0,20.4,5.2,0.6,4.4,42.8
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.027541,-39.534994,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",1.8,3.4,3.4,85.0,0.0,71.8,0.0,0.0,165.4
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,0.4,0.0,5.4,1.0,9.2,11.4,0.2,1.2,28.8
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.42976,-39.332759,Sul,RPGA do Leste,0.4,1.0,1.2,1.8,5.0,11.6,0.2,0.4,21.6
Mascote,53950000,Mascote,Mascote - 53950000,-15.565561,-39.302756,Sul,RPGA do Rio Pardo,0.2,0.2,3.0,0.8,3.8,0.8,1.6,2.0,12.4
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,3.25,6.0,3.0,1.0,12.5,0.5,0.0,26.25
Centro,290560201A,Camacan,Camacan (Centro) - 290560201A,-15.422225,-39.494984,Sul,RPGA do Rio Pardo,1.58,0.59,3.16,4.59,6.6,13.98,1.8,2.2,34.5
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859179,-38.878025,Sul,RPGA do Rio Jequitinhonha,0.0,1.97,4.57,9.06,0.6,26.79,0.0,0.0,42.99
São João do Panelinha,290560202A,Camacan,Camacan (São João do Panelinha) - 290560202A,-15.375278,-39.489984,Sul,RPGA do Rio Pardo,0.0,7.67,2.98,0.6,6.53,13.6,0.0,7.5,38.88
Centro,290560203A,Camacan,Camacan (Centro) - 290560203A,-15.416389,-39.493873,Sul,RPGA do Rio Pardo,1.19,0.59,3.38,2.21,6.02,14.78,0.4,3.16,31.73
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797213,-39.04608,Sul,RPGA do Leste,0.2,0.0,1.62,10.3,12.9,0.2,6.79,13.37,45.38
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789158,-39.048858,Sul,RPGA do Leste,0.39,0.2,1.2,9.28,12.85,0.79,5.53,16.14,46.38
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.80638,-39.27803,Sul,RPGA do Leste,5.13,0.2,1.01,0.4,40.25,0.2,25.53,27.54,100.26
Nova Ferradas,291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857213,-39.346922,Sul,RPGA do Leste,4.37,4.34,0.79,0.42,41.19,0.6,12.98,7.7,72.39
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",12.11,17.25,2.77,0.4,1.78,0.0,0.0,0.0,34.31
Posto da Mata,292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",14.09,15.0,2.75,1.77,1.18,0.0,0.0,0.0,34.79
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.99,0.0,3.35,45.66,0.6,14.38,0.0,0.0,64.98
Centro,291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,3.55,0.0,1.19,1.58,39.9,0.0,23.82,18.97,89.01
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089181,-39.615546,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,7.11,54.09,5.93,3.75,0.0,0.0,70.88
Jusante,54945000,Itapebi,Itapebi (Jusante) - 54945000,-15.949206,-39.5225,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,9.2,17.6,5.2,13.4,0.0,0.0,45.4
Ferradas,53170000,Itabuna,Itabuna (Ferradas) - 53170000,-14.8439,-39.3311,Sul,RPGA do Leste,4.2,7.6,1.4,0.0,44.4,0.2,7.4,3.6,68.8
Morpará,46360000,Morpará,Morpará - 46360000,-11.5583,-43.2825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.8,14.8,0.8,10.8,1.6,50.0,10.6,89.4
Barra,83179,Barra,Barra - 83179,-11.083333,-43.166667,São Francisco,RPGA do Rio Grande,0.0,1.8,21.6,1.0,22.2,4.4,27.0,26.1,104.1
Bom Jesus da Lapa,83288,Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,-13.251389,-43.405278,São Francisco,RPGA do Rio Carnaíba de Dentro,3.4,3.7,2.0,4.2,7.4,1.6,0.0,14.6,36.91
Santa Rita de Cássia,83076,Santa Rita de Cássia,Santa Rita de Cássia - 83076,-11.016667,-44.516667,São Francisco,RPGA do Rio Grande,0.0,6.1,29.8,0.5,3.2,0.0,59.8,11.6,111.0
Faz. Macambira,46675000,Cotegipe,Cotegipe (Faz. Macambira) - 46675000,-11.6106,-44.1567,São Francisco,RPGA do Rio Grande,0.0,2.8,3.0,12.2,59.4,2.2,19.4,5.4,104.4
Fz.P. Limpo,46870000,Mansidão,Mansidão (Fz.P. Limpo) - 46870000,-11.236845,-43.950633,São Francisco,RPGA do Rio Grande,0.0,2.8,0.6,0.6,33.2,3.0,17.0,1.8,59.0
Santa Maria da Vitória,45910001,Santa Maria da Vitória,Santa Maria da Vitória - 45910001,-13.4006,-44.1989,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",2.6,18.6,1.2,0.0,10.8,0.2,0.0,36.8,70.2
Bom Jesus da Lapa,45480000,Bom Jesus da Lapa,Bom Jesus da Lapa - 45480000,-13.2572,-43.435,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boqueirão,46902000,Mansidão,Mansidão (Boqueirão) - 46902000,-11.345255,-43.826056,São Francisco,RPGA do Rio Grande,0.0,2.4,5.2,21.8,20.8,1.0,39.8,0.6,91.6
Boquira,PM-PR-05,Boquira,Boquira - PM-PR-05,-12.81037,-42.71849,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,24.2,0.0,0.0,0.6,4.2,0.4,0.8,19.0,49.2
Ipupiara,SM-PR-07,Ipupiara,Ipupiara - SM-PR-07,-11.81885,-42.61825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,2.6,1.0,1.0,0.6,0.0,0.0,0.0,5.2
Volta da Serra,CD-CL-02,Paratinga,Paratinga (Volta da Serra) - CD-CL-02,-12.57591,-43.12782,São Francisco,RPGA do Rio Carnaíba de Dentro,10.0,0.8,28.2,8.2,1.0,6.8,4.8,25.4,85.2
Xique-Xique,PM-CL-05,Xique-Xique,Xique-Xique - PM-CL-05,-10.82519,-42.68914,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,11.4,0.6,32.0,0.2,12.8,1.2,58.2
Fazenda Água Quente,VJ-FR-01,Gentio do Ouro,Gentio do Ouro (Fazenda Água Quente) - VJ-FR-01,-11.550069,-42.337643,São Francisco,RPGA dos Rios Verde e Jacaré,0.0,0.0,9.4,12.6,35.8,13.6,32.8,6.8,111.0
