nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_04_21,02_04_21,03_04_21,04_04_21,05_04_21,06_04_21,07_04_21,08_04_21,09_04_21,10_04_21,11_04_21,12_04_21,13_04_21,14_04_21,15_04_21,16_04_21,17_04_21,18_04_21,19_04_21,20_04_21,21_04_21,22_04_21,23_04_21,24_04_21,25_04_21,26_04_21,27_04_21,28_04_21,29_04_21,30_04_21,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.6,79.0,0.0,0.0,0.0,0.6,0.4,4.2,7.7,7.6,2.5,14.3,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,2.7,43.3,2.8,1.5,18.0,0.0,0.0,0.0,0.0,0.0,185.6
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.217,-41.217,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,11.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,6.6,35.8,0.9,6.2,0.8,0.0,0.0,0.0,0.0,2.8,112.1
Piatã,A430,Piatã,Piatã - A430,-13.156,-41.774,Chapada Diamantina,RPGA do Rio de Contas,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,17.2,2.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.2,6.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,37.81
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.762,-40.214,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,0.0,0.0,1.4,0.0,6.6,5.0,2.4,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,66.4,11.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4,117.01
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.389,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.932,-40.226,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.4,2.0,4.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,77.0,39.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,161.0
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.8,-40.363,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,6.0,3.2,5.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.4,48.4,16.6,12.0,0.2,0.0,0.0,0.0,0.0,0.0,4.8,116.8
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.772,-41.541,Chapada Diamantina,RPGA do Rio Paraguaçu,38.2,23.2,0.0,0.0,2.4,0.0,0.2,0.0,5.8,5.6,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,13.6,34.2,3.4,2.4,0.0,0.0,0.0,0.0,0.0,0.2,131.0
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.154,-40.768,Chapada Diamantina,RPGA do Rio Paraguaçu,1.2,2.0,0.0,0.0,30.0,1.6,0.0,0.0,0.2,0.6,1.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,41.2,13.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,160.2
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.117,-42.284,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.6,2.2,30.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4
