codigo,nome_estacao,nome_codigo,municipio,serie,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,ano
83292,Ituaçu,(Clima)Ituaçu - 83292,Ituaçu,1981-2027,BA,76,74.7,91.9,54.4,18.6,14.7,8.8,6.3,17.3,42.1,93,120.1,617.9
83186,Jacobina,(Clima)Jacobina - 83186,Jacobina,1981-2028,BA,104.5,67.9,136.8,82.1,45.9,42.2,36.7,33.6,21.8,30.2,83.8,101.1,786.6
83242,Lençóis,(Clima)Lençóis - 83242,Lençóis,1981-2010,BA,116,96.4,182.7,124.9,59.8,50.7,36.9,35.4,28.5,72.5,132.3,132.6,1068.7
83090,Monte Santo,(Clima)Monte Santo - 83090,Monte Santo,1981-2030,BA,55.5,57.6,68,63,52.6,62.7,51,34.8,18.9,25.2,49.8,64,603.1
83184,Morro do Chapéu,(Clima)Morro do Chapéu - 83184,Morro do Chapéu,1981-2010,BA,71.1,65.1,102,63.1,29.6,33.3,29.5,23.6,18.1,38.4,97.2,83.5,654.5
82986,Paulo Afonso,(Clima)Paulo Afonso - 82986,Paulo Afonso,1981-2032,BA,49.2,38.3,76.8,75.3,54.2,62.6,49.3,29,11.7,17.1,19.5,30,513
82979,Remanso,(Clima)Remanso - 82979,Remanso,1981-2033,BA,125,110.6,125.3,60.8,9,2.2,0.7,1.2,2.3,21.3,74,89,621.4
83229,Salvador (Ondina),(Clima)Salvador - 83229,Salvador,1981-2034,BA,82.5,107.2,156.8,295.7,279.8,245.6,208.6,133.5,101.6,95.2,106.5,58.1,1871.1
83088,Senhor do Bonfim,(Clima)Senhor do Bonfim - 83088,Senhor do Bonfim,1981-2035,BA,75.5,65.6,96.2,80.6,73.4,79.7,63.3,40.3,21.1,28.7,65.1,62.8,752.3
83190,Serrinha,(Clima)Serrinha - 83190,Serrinha,1981-2036,BA,71,56.2,83.1,69.6,71.3,95.2,67.6,54.4,38.6,38.2,63.4,65.7,774.3
83076,Santa Rita de Cássia (Ibipetuba),(Clima)Santa Rita de Cássia - 83076,Santa Rita de Cássia,1981-2037,BA,141.8,128.7,169.1,77.5,24.2,1.4,0,2.6,9.4,78.3,169.4,174,976.4
83344,Vitoria da Conquista,(Clima)Vitoria da Conquista - 83344,Vitoria da Conquista,1981-2038,BA,98.7,76.7,114,57.4,24,20.8,24.8,19.9,20.8,45.9,129.5,125.6,758.1
