municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,304.6,1.8,16.2,13.6,1.6,1.8,12.2,32.2,28.8,40.4,53.01,35.01
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.131694,-40.354222,426.0,4.61,23.2,31.4,46.0,23.0,62.81,46.2,38.6,103.01,87.6,15.0
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,578.51,1.5,14.2,26.4,16.8,13.4,26.71,29.9,26.9,37.0,49.41,34.3
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,591.91,0.31,19.5,13.41,8.3,17.21,32.31,121.2,28.1,165.7,75.4,16.3
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,362.81,18.6,1.31,7.5,11.8,24.4,21.0,30.01,35.0,33.2,57.91,37.0
Itaetê,Itaetê,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.991944,-40.960833,446.2,0.61,11.0,9.6,0.61,17.4,16.8,17.8,12.8,19.8,21.41,10.6
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.931506,-40.226468,347.5,24.75,35.0,89.5,146.25,105.0,70.75,9.0,10.5,16.25,35.25,10.5
Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.65622,-40.589813,356.0,0.0,2.5,7.25,5.0,3.0,19.0,22.5,4.75,20.5,38.5,15.5
Wagner,Wagner - PG-PR-22,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.289538,-41.161774,221.0,0.75,3.75,3.25,1.5,2.5,16.25,18.25,19.75,28.75,45.75,9.0
Olho D'Água do Francisco,Olho D'Água do Francisco,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-12.307034,-42.079028,501.6,0.61,1.0,0.0,0.61,0.2,0.2,0.8,0.4,7.2,1.6,58.2
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,576.0,8.5,18.25,26.0,47.0,31.5,55.25,74.75,53.25,76.75,44.25,15.5
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,337.0,4.75,24.25,8.25,0.25,9.5,8.0,28.5,6.5,24.5,28.0,43.75
Iraquara,Iraquara - PG-PR-02,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.255093,-41.61679,421.0,0.5,2.0,3.75,4.0,6.0,8.75,13.75,17.0,77.5,51.75,8.75
