municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,21.8,96.0,144.4,90.4,53.6,31.6,27.4,16.8,21.0,82.4,247.4,155.8
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.931506,-40.226468,10.0,28.0,15.25,41.5,42.5,11.0,22.75,0.25,13.25,2.0,54.75,146.5
Iaçu,Iaçu (João Amaro) - PG-PR-16,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.800391,-40.363139,15.25,39.75,87.75,31.0,11.5,5.75,52.0,1.0,15.25,4.5,79.5,212.75
Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.65622,-40.589813,13.25,26.5,29.5,35.75,12.0,16.75,34.75,4.0,8.5,15.0,99.75,121.5
Wagner,Wagner - PG-PR-22,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.289538,-41.161774,4.0,43.5,27.25,43.5,57.25,8.0,21.75,2.5,22.5,56.25,217.5,64.0
Utinga,Utinga - PG-PR-23,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.030089,-41.058714,3.0,35.5,33.25,135.75,52.5,7.75,43.0,5.5,3.0,52.5,243.25,65.0
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.771772,-41.540679,25.25,25.0,78.75,67.0,33.0,6.25,7.0,6.25,0.5,15.75,86.5,126.0
Mucugê,Mucugê (Cascavel) - PG-PR-27,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.285954,-41.287619,13.5,43.0,121.25,40.25,2.0,10.25,16.75,6.25,8.5,37.0,130.5,115.0
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,32.25,57.25,73.0,112.25,32.25,32.0,41.0,6.0,2.5,47.5,217.5,160.75
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,0.8,25.2,40.61,21.0,7.61,26.6,41.6,7.0,18.4,5.6,87.6,222.4
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.131694,-40.354222,12.8,39.41,43.4,35.6,52.41,45.41,60.2,32.81,24.8,14.8,63.2,279.0
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,7.1,55.3,128.9,29.4,23.51,24.41,40.0,5.51,18.0,5.2,87.5,225.71
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,21.0,95.11,146.9,91.6,52.11,28.51,26.51,15.6,19.4,82.7,239.61,153.61
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,71.8,81.8,90.2,111.8,53.61,54.2,55.41,14.6,7.61,56.41,213.6,127.4
Itaetê,Itaetê,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.991944,-40.960833,5.4,35.4,26.8,52.2,30.2,13.8,16.6,3.81,2.2,28.8,166.0,81.0
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,28.6,63.8,41.91,213.0,97.55,37.45,82.0,28.25,16.5,123.75,161.25,215.0
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,13.75,92.0,24.5,36.25,21.5,10.75,42.0,1.25,5.75,10.75,105.5,123.75
Iraquara,Iraquara - PG-PR-02,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.255093,-41.61679,9.5,43.5,33.25,75.25,11.25,14.0,5.0,8.5,4.0,14.0,174.0,153.75
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,9.0,26.5,59.5,54.0,45.5,16.0,15.25,5.75,2.75,89.0,186.5,31.5
Coronel João Sá,Coronel João Sá - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.284624,-37.917698,0.0,20.2,7.0,34.4,94.4,48.51,66.3,11.4,16.1,43.8,88.75,26.5
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083333,-38.516667,6.3,31.6,49.1,64.11,82.6,63.91,93.5,49.2,28.5,38.1,107.0,50.4
Jacobina,Jacobina - 83186,Nordeste,RPGA do Rio Itapicuru,-11.172778,-40.534167,8.1,40.7,29.6,131.8,100.8,25.21,57.1,32.8,14.71,24.91,112.4,56.2
Monte Santo,Monte Santo - 83090,Nordeste,RPGA do Rio Itapicuru,-10.4425,-39.331111,4.4,8.4,11.9,67.21,60.0,39.8,65.3,27.6,14.71,27.1,89.2,75.8
Paulo Afonso,Paulo Afonso - 82986,Nordeste,RPGA dos Rios Macururé e Curaçá,-9.379325,-38.227424,7.6,20.21,38.71,53.8,53.41,27.6,74.2,39.6,17.71,11.8,32.7,5.2
Serrinha,Serrinha - 83190,Nordeste,RPGA do Recôncavo Norte,-11.633333,-38.966667,2.4,57.41,13.4,55.2,62.41,60.1,91.11,69.91,38.7,18.7,42.7,81.31
Euclides da Cunha,Euclides da Cunha - A442,Nordeste,RPGA do Rio Itapicuru,-10.537233,-38.996605,10.8,15.8,25.0,121.0,82.8,90.81,118.81,69.61,25.8,65.0,63.4,0.0
Jacobina,Jacobina - A440,Nordeste,RPGA do Rio Itapicuru,-11.205136,-40.464979,14.0,55.61,47.6,185.01,8.8,0.61,0.0,0.2,2.41,6.0,69.41,82.21
Serrinha,Serrinha - A441,Nordeste,RPGA do Rio Paraguaçu,-11.664586,-39.022946,2.4,56.0,15.8,49.81,62.8,56.61,82.2,66.21,40.81,0.8,0.2,67.2
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.18288,-40.04725,11.21,19.8,82.41,93.81,67.21,24.2,42.6,19.4,3.6,0.4,81.01,93.2
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.1128,28.6,51.6,44.41,242.41,44.61,32.4,62.81,32.9,21.8,9.0,51.41,117.81
Ipirá,Ipirá - PG-CL-02,Nordeste,RPGA do Rio Paraguaçu,-12.14986,-39.76454,16.75,5.75,15.0,34.75,102.8,49.75,54.75,32.25,39.0,27.25,14.5,83.25
Serrinha,Serrinha - RN-CL-02,Nordeste,RPGA do Recôncavo Norte,-11.648333,-38.982777,29.25,58.5,42.25,82.25,70.75,61.3,71.75,58.91,69.0,29.5,60.25,61.75
