municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Boa Vista do Tupim,Boa Vista do Tupim - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.651332,-40.60111,130.3,0.0,0.0,10.7,0.0,0.0,8.5,0.0,0.0,0.0,40.8,0.0
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.931506,-40.226468,132.75,13.0,6.0,24.0,3.5,13.75,9.75,14.5,6.0,2.5,35.25,208.75
Iaçu,Iaçu (João Amaro) - PG-PR-16,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.800391,-40.363139,123.5,3.25,11.5,16.75,2.75,24.0,15.5,16.0,14.0,5.75,31.75,168.0
Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.65622,-40.589813,66.0,0.0,0.0,14.25,7.25,3.75,19.5,20.5,10.0,1.0,41.75,226.25
Boninal,Boninal - PG-PR-19,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.67656,-41.8464,91.5,17.75,32.25,78.75,5.5,7.75,22.0,4.25,0.0,5.75,95.5,211.0
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,91.0,27.25,24.0,129.75,35.5,47.75,41.75,43.25,37.25,22.25,72.75,239.5
Palmeiras,Palmeiras - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.46799,-41.617801,72.0,0.0,5.0,27.0,5.0,40.0,23.0,0.0,0.0,15.5,81.5,351.0
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,200.21,9.8,5.0,8.4,16.6,22.6,33.4,31.6,43.81,5.6,51.0,156.2
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.131694,-40.354222,146.6,37.2,5.0,35.0,25.2,63.81,47.4,32.8,23.0,14.0,29.4,207.2
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,206.91,9.8,5.6,7.9,15.71,21.1,29.3,25.8,42.0,5.4,49.1,154.81
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,255.6,8.6,74.2,53.4,47.2,70.0,48.2,67.2,35.0,11.71,77.6,228.4
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,142.5,1.4,5.4,57.2,20.4,37.6,29.91,19.5,13.4,22.0,56.91,150.61
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,156.41,71.4,47.8,100.8,45.8,76.01,64.01,73.4,67.0,27.6,81.61,231.0
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,187.0,20.5,9.5,7.0,3.75,25.5,8.25,22.78,23.0,2.25,76.75,191.75
Tapiramutá,Tapiramutá - PG-PR-09,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.838502,-40.791761,103.75,4.0,3.75,23.25,26.0,70.75,68.0,39.75,35.25,18.75,48.0,153.5
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,101.5,5.25,1.75,13.75,7.75,18.0,10.0,4.5,4.75,0.75,19.0,153.75
