municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,198.8,42.0,306.0,232.6,41.0,55.6,75.4,37.4,23.8,114.61,292.4,17.2
Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,Chapada Diamantina,RPGA do Rio de Contas,-13.682872,-41.841236,196.0,62.01,204.2,99.4,10.8,4.8,5.0,0.4,1.0,84.61,330.0,0.2
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,280.6,38.2,301.41,237.4,90.0,86.2,87.2,64.2,43.0,116.21,309.8,6.81
Iacú,Iacú (Lagoa Bonita) - PG-PR-15,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.931506,-40.226468,50.81,9.8,125.8,137.0,10.8,19.0,16.6,34.6,18.6,83.8,73.4,112.2
Iaçu,Iaçu (João Amaro) - PG-PR-16,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.800391,-40.363139,71.0,14.0,172.0,99.4,27.6,28.0,28.6,55.01,32.4,44.8,100.2,5.4
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.771772,-41.540679,219.4,95.21,276.41,179.2,33.0,38.61,48.6,26.0,19.8,86.4,233.2,1.8
Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.153732,-40.768155,135.61,21.6,176.6,222.2,33.8,45.4,30.8,16.41,14.8,54.6,228.1,26.0
Rio do Pires,Rio do Pires - PM-CL-04,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,-13.11695,-42.28411,128.2,81.4,143.5,69.2,9.4,0.5,0.91,0.31,0.0,108.81,231.6,1.6
Iaçu,Iaçu - PG-CL-05,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.9114,-40.03177,70.2,5.21,173.8,138.4,17.6,16.8,18.0,30.2,25.6,25.6,78.4,22.6
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,181.01,114.3,218.21,137.2,105.61,94.8,79.8,89.0,71.0,53.41,45.4,11.8
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,144.6,61.91,149.81,127.9,23.6,18.0,36.4,16.0,28.2,54.41,167.6,0.0
Baixa Grande,Baixa Grande - PG-PR-08,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.908701,-40.183683,92.0,95.0,260.41,229.0,77.2,131.0,122.0,66.61,102.01,56.4,132.61,1.0
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,195.8,6.2,90.2,94.2,38.41,57.6,39.41,29.41,34.0,99.3,149.0,0.61
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,211.5,29.75,359.0,311.75,47.0,59.0,90.5,49.0,30.75,122.25,332.25,14.65
Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.51429,-39.93422,32.6,5.61,80.4,46.8,4.0,41.2,36.2,27.6,24.8,22.8,116.81,2.0
Utinga,Utinga - 293280401C,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.0756,-41.102466,65.61,57.0,199.8,126.6,89.0,27.2,32.0,19.0,13.6,80.0,130.21,0.0
Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,Nordeste,RPGA do Rio Itapicuru,-11.161707,-40.554213,163.2,11.2,69.01,77.4,63.21,70.4,57.2,20.0,36.81,30.6,158.4,6.2
