municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Iaçu,Iaçu - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.768002,-40.217768,16.7,16.7,158.8,48.0,5.0,0.0,40.6,7.0,8.9,8.3,0.0,17.8
Itaberaba,Itaberaba - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.534663,-40.301101,80.2,44.5,266.01,48.1,27.3,0.0,83.1,11.7,10.0,49.6,0.0,27.1
Itaetê,Itaetê - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.984669,-40.984455,31.6,0.0,238.5,139.5,7.0,0.0,26.6,0.0,4.1,100.9,27.0,132.2
Ruy Barbosa,Ruy Barbosa - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.284657,-40.501107,48.0,3.0,291.0,111.0,31.0,10.0,81.0,32.0,36.0,63.0,0.0,113.0
Utinga,Utinga - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.08465,-41.101122,21.0,0.0,165.0,90.0,0.0,0.0,48.0,0.0,0.0,27.5,40.0,175.0
Barra da Estiva,Barra da Estiva - EBDA,Chapada Diamantina,RPGA do Rio de Contas,-13.63468,-41.334467,9.3,27.2,62.7,61.1,15.4,16.2,90.2,27.71,10.1,64.1,193.5,159.9
Itaetê,Itaetê,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.981335,-40.951122,23.0,20.0,248.0,117.0,7.0,5.0,27.0,3.0,5.0,70.0,31.0,193.0
Baixa Grande,Baixa Grande - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.951317,-40.167762,217.0,0.0,130.0,77.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0
Mairi,Mairi - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.717981,-40.151095,61.0,45.4,181.9,61.4,0.0,17.7,29.5,0.0,15.2,49.3,0.0,77.0
Morro do Chapéu,Morro do Chapéu - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.551305,-41.151119,10.0,0.0,112.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mundo Novo,Mundo Novo - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.851314,-40.46777,107.5,48.5,149.3,200.5,42.5,46.0,33.0,47.5,22.5,40.0,0.0,43.0
Piritiba,Piritiba - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.751314,-40.551104,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,79.7,0.0,0.0
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,49.4,38.2,296.4,65.81,30.01,4.2,94.4,23.4,16.8,57.6,5.0,58.2
Barra do Mendes,Barra do Mendes - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.817975,-42.06781,81.5,56.0,189.0,77.0,0.0,0.0,0.0,0.0,0.0,110.0,22.0,106.0
Cafarnaum,Cafarnaum - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.484462,73.2,37.2,149.0,119.5,0.0,0.0,0.0,0.0,0.0,44.5,19.5,123.5
Canarana,Canarana - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.751137,54.7,46.31,175.3,97.0,0.0,0.0,0.0,0.0,0.0,61.1,52.41,133.11
Andaraí,Andaraí - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.801332,-41.317795,108.0,20.0,131.5,80.5,0.0,0.0,0.0,12.5,23.0,120.0,169.5,132.0
Iraquara,Iraquara - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.234651,-41.617801,52.2,21.8,252.61,139.5,11.3,0.0,0.0,0.0,0.0,61.91,29.7,323.3
Mucugê,Mucugê - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.001335,-41.367798,111.4,26.7,73.7,147.9,12.1,0.0,17.8,8.5,16.4,63.0,100.48,232.1
Piatã,Piatã - EBDA,Chapada Diamantina,RPGA do Rio de Contas,-13.201338,-41.751143,43.3,84.31,134.5,87.1,0.0,0.0,72.0,38.3,23.0,80.0,210.0,200.0
Seabra,Seabra - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.417987,-41.767806,24.0,0.0,97.0,119.0,4.0,0.0,14.0,6.0,0.0,55.0,31.0,255.0
Livramento do Brumado,Livramento do Brumado - EBDA,Chapada Diamantina,RPGA do Rio de Contas,-13.651344,-41.834479,30.41,18.2,84.3,13.0,0.0,0.0,3.5,0.0,6.8,43.4,72.61,0.0
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,48.4,38.7,306.3,62.2,28.2,2.5,86.8,19.6,13.9,54.81,3.81,57.6
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,60.1,25.3,107.2,192.51,39.21,4.31,75.5,20.91,19.7,174.01,33.1,131.8
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,45.9,29.4,235.6,137.41,14.3,17.3,58.0,10.1,22.0,66.31,11.3,179.9
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,75.4,79.6,177.8,107.41,18.6,19.4,111.8,30.41,39.6,46.81,268.2,154.41
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,55.25,11.5,178.0,67.0,32.5,20.75,119.25,31.5,34.75,23.25,4.5,188.5
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,49.2,57.61,187.3,174.0,0.25,4.0,14.5,3.5,9.75,30.0,7.5,97.5
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,55.25,68.0,85.25,79.0,11.0,11.25,72.0,20.25,20.0,82.75,142.0,179.5
Souto Soares,Souto Soares - PG-CL-04,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.08538,-41.64815,28.75,26.0,134.41,67.1,4.75,16.25,21.0,9.85,8.2,42.21,23.75,187.75
Palmeiras,Palmeiras - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.46799,-41.617801,47.0,0.0,176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5
Jeremoabo,Jeremoabo - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.067951,-38.351041,15.21,75.9,59.7,118.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coronel João Sá,Coronel João Sá - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.284624,-37.917698,0.0,0.0,53.1,79.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abaré,Abaré - EBDA,Nordeste,RPGA dos Rios Macururé e Curaçá,-8.71792,-39.117725,0.0,36.0,71.7,159.5,53.0,10.3,55.0,0.0,5.8,62.7,0.0,40.6
