municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Boa Vista do Tupim,Boa Vista do Tupim - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.651332,-40.60111,76.11,0.0,75.6,27.0,0.0,0.0,0.0,0.0,0.0,5.5,56.41,38.3
Iaçu,Iaçu - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.768002,-40.217768,36.3,0.0,12.5,54.0,0.0,9.0,0.0,0.0,0.0,4.8,44.0,26.2
Itaberaba,Itaberaba - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.534663,-40.301101,56.2,0.0,44.5,44.5,0.0,0.0,12.4,13.7,0.0,0.0,99.2,116.4
Itaetê,Itaetê - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.984669,-40.984455,23.4,0.0,82.5,51.5,0.0,0.0,0.0,21.0,0.0,14.0,53.81,14.4
Ruy Barbosa,Ruy Barbosa - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.284657,-40.501107,80.0,34.0,36.0,65.0,39.0,0.0,20.0,5.0,0.0,27.0,75.0,81.0
Utinga,Utinga - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.08465,-41.101122,35.0,8.0,42.5,12.5,37.5,0.0,0.0,0.0,0.0,19.5,54.0,35.5
Barra da Estiva,Barra da Estiva - EBDA,Chapada Diamantina,RPGA do Rio de Contas,-13.63468,-41.334467,36.31,0.0,329.11,58.6,24.2,11.1,22.6,14.3,165.4,37.6,139.3,58.2
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,59.0,13.0,34.6,44.4,15.6,10.61,18.6,13.61,17.8,15.4,94.8,104.4
Barra do Mendes,Barra do Mendes - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.817975,-42.06781,11.0,40.5,116.8,7.0,5.0,0.0,0.0,0.0,0.0,37.0,55.0,8.0
Cafarnaum,Cafarnaum - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.484462,9.0,24.4,101.6,1.0,0.0,25.0,0.0,0.0,0.0,90.5,17.0,19.0
Canarana,Canarana - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.751137,6.2,49.3,93.1,6.4,2.0,0.0,0.0,0.0,0.0,52.6,29.3,22.6
Andaraí,Andaraí - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.801332,-41.317795,16.0,17.0,422.0,26.21,0.0,24.0,8.0,0.0,0.0,23.6,48.0,0.0
Iraquara,Iraquara - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.234651,-41.617801,45.0,74.4,132.21,24.8,0.0,0.0,16.7,0.0,0.0,78.5,39.8,57.3
Mucugê,Mucugê - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.001335,-41.367798,59.31,49.9,111.6,142.7,30.2,36.8,24.1,26.8,6.0,71.11,225.2,135.1
Seabra,Seabra - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.417987,-41.767806,41.0,37.0,77.0,39.0,0.0,0.0,0.0,7.0,0.0,75.0,81.7,88.31
Livramento do Brumado,Livramento do Brumado - EBDA,Chapada Diamantina,RPGA do Rio de Contas,-13.651344,-41.834479,102.5,40.3,84.31,23.3,0.0,0.0,0.0,0.0,0.0,40.6,132.7,70.2
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,51.6,11.0,31.21,40.7,12.4,9.1,38.5,18.5,15.3,12.2,94.2,103.7
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,127.2,56.2,187.21,122.5,90.4,32.2,28.91,46.91,9.7,48.0,123.2,96.2
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,16.7,50.2,105.9,21.6,25.9,13.0,20.3,16.0,5.81,56.5,21.8,84.8
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,83.4,48.4,162.21,111.4,38.2,29.4,59.41,33.6,17.8,128.4,143.4,84.2
São Félix do Coribe,São Félix do Coribe - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.401899,-41.19585,229.5,104.7,239.71,0.0,3.6,0.0,0.0,0.0,0.0,75.5,321.1,173.21
Andaraí,Andaraí (Nova Vista) - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.151323,-40.267765,56.0,0.0,133.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,88.0
Andaraí,Andaraí (Ubiraitá) - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.684663,-41.051122,83.0,0.0,61.0,18.0,0.0,0.0,0.0,0.0,0.0,31.0,42.1,14.1
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,117.6,58.41,162.21,92.61,85.4,20.6,20.8,52.2,10.4,50.0,130.6,102.2
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,161.75,21.25,214.5,67.25,23.0,25.0,68.0,23.5,22.25,53.75,57.25,85.25
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,82.75,0.5,116.75,70.35,13.25,22.1,11.7,10.2,6.9,39.4,53.01,28.6
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,65.75,82.0,110.75,82.5,9.0,24.25,26.5,23.5,10.0,92.5,117.25,72.75
