municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,14.4,13.2,23.6,85.81,36.01,32.6,35.81,8.8,28.21,8.61,54.8,92.01
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,14.0,11.9,21.6,85.4,32.7,23.9,31.1,8.21,23.9,7.0,53.6,96.61
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,3.2,36.9,87.3,98.8,109.1,26.71,49.4,9.8,44.1,2.9,161.0,51.6
Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.65622,-40.589813,2.25,15.5,30.0,57.0,8.25,10.75,18.0,8.75,4.75,0.75,61.75,112.25
Wagner,Wagner - PG-PR-22,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.289538,-41.161774,3.0,4.5,20.0,95.75,9.75,4.75,13.0,0.5,4.0,0.0,77.25,52.5
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.771772,-41.540679,0.75,14.0,68.0,70.5,17.25,10.0,17.5,7.25,20.0,0.25,69.75,30.25
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,2.5,8.25,5.75,54.41,59.75,29.0,49.2,12.5,65.25,12.5,136.41,93.5
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,1.25,20.95,57.75,48.0,16.0,21.0,14.25,1.35,6.5,2.5,59.6,45.25
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,0.0,1.0,21.25,113.5,10.5,16.0,12.75,5.75,14.25,2.5,75.25,30.75
Bonito,Bonito - PG-PR-11,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.98993,-41.25429,3.0,12.5,43.5,40.5,87.25,37.25,89.5,25.25,111.25,16.5,136.0,53.0
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,18.21,165.3,105.75,117.75,58.75,44.0,74.25,16.75,32.1,5.1,167.8,61.4
Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.51429,-39.93422,11.3,25.1,22.5,32.0,28.81,6.8,15.8,4.8,16.91,4.6,30.71,44.7
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083333,-38.516667,0.0,16.6,28.71,49.2,48.6,81.3,113.8,25.5,135.0,31.6,16.8,41.2
Monte Santo,Monte Santo - 83090,Nordeste,RPGA do Rio Itapicuru,-10.4425,-39.331111,0.0,1.5,42.1,40.4,35.41,45.5,69.6,17.7,98.4,6.8,7.4,16.9
Uauá,Uauá - A435,Nordeste,RPGA do Rio Vaza-Barris,-9.833617,-39.495631,0.0,43.4,18.6,9.8,12.6,40.2,20.2,3.8,43.4,3.6,5.8,53.0
Serrinha,Serrinha - A441,Nordeste,RPGA do Rio Paraguaçu,-11.664586,-39.022946,1.0,6.4,67.0,32.2,66.61,55.4,84.0,12.8,82.0,22.4,30.2,36.4
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.18288,-40.04725,3.2,5.8,68.8,43.8,12.2,27.0,32.8,4.0,28.61,2.41,100.2,36.8
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.1128,0.61,2.4,120.6,40.0,26.0,27.2,35.0,2.81,62.81,7.0,35.2,41.61
Ipirá,Ipirá - PG-CL-02,Nordeste,RPGA do Rio Paraguaçu,-12.14986,-39.76454,7.75,6.5,36.75,107.5,47.0,47.25,77.75,20.5,47.75,4.75,20.6,85.8
Serrinha,Serrinha - RN-CL-02,Nordeste,RPGA do Recôncavo Norte,-11.648333,-38.982777,0.0,0.25,32.75,27.5,44.25,40.25,65.75,27.2,30.71,20.25,27.5,35.25
Olindina,Olindina - IT-PR-11,Nordeste,RPGA do Rio Itapicuru,-11.343693,-38.318892,0.25,8.5,50.5,64.5,28.0,32.75,56.75,11.0,95.0,14.5,52.25,50.0
Itapicuru,Itapicuru - IT-PR-12,Nordeste,RPGA do Rio Itapicuru,-11.321193,-38.225003,2.0,9.75,26.0,41.0,24.75,53.25,63.25,25.0,149.25,29.5,67.5,56.0
Juazeiro,Juazeiro (Itaberaba) - 291840701A,Norte,RPGA dos Rios Macururé e Curaçá,-9.44837,-40.48517,0.2,56.0,12.8,7.6,0.8,5.81,0.61,0.0,5.81,0.0,4.2,20.6
Juazeiro,Juazeiro (Malhada da Areia) - 291840702A,Norte,RPGA dos Rios Macururé e Curaçá,-9.44181,-40.51381,0.4,36.41,12.0,8.2,0.8,5.0,0.4,0.0,4.8,0.0,22.8,19.8
Juazeiro,Juazeiro (João Paulo II) - 291840704A,Norte,RPGA dos Rios Macururé e Curaçá,-9.47067,-40.49805,0.2,66.2,15.0,8.0,0.8,2.81,0.61,0.0,2.6,0.0,7.6,40.0
Remanso,Remanso - 82979,Norte,RPGA do Lago de Sobradinho,-9.633333,-42.1,8.0,85.71,83.6,74.2,3.7,4.7,0.0,0.0,0.0,0.0,19.0,22.1
Umburanas,Umburanas (Delfino) - A443,Norte,RPGA do Rio Salitre,-10.45492,-41.206996,9.8,13.2,65.8,47.6,7.61,5.2,12.41,1.8,10.0,3.01,33.6,40.6
Remanso,Remanso - A423,Norte,RPGA do Lago de Sobradinho,-9.625693,-42.077214,8.4,84.2,50.6,66.0,4.0,4.8,0.4,0.0,0.0,2.0,25.21,22.6
