municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Barra do Mendes,Barra do Mendes - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.817975,-42.06781,22.0,37.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,130.0,78.0
Cafarnaum,Cafarnaum - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.484462,57.0,61.0,7.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,92.6,0.0
Canarana,Canarana - EBDA,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.684641,-41.751137,40.3,20.8,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,107.4,0.0
Andaraí,Andaraí - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.801332,-41.317795,0.0,20.0,0.0,0.0,34.0,21.0,7.0,0.0,0.0,0.0,170.0,0.0
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,16.6,139.0,5.4,9.8,62.8,59.2,32.0,42.2,0.4,57.81,118.61,5.2
Piatã,Piatã (Fazenda Cruz) - PG-PR-20,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.90705,-41.86708,15.0,12.75,40.0,0.75,16.5,1.25,3.5,4.5,0.0,6.5,69.75,8.5
Mucugê,Mucugê (Guiné) - PG-PR-24,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.771772,-41.540679,5.5,44.25,2.0,6.0,43.75,14.75,10.0,15.75,0.25,0.0,65.5,19.25
Canarana,Canarana,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.69541,-41.78921,45.01,28.4,6.8,0.0,6.2,1.21,3.01,1.41,0.0,0.0,120.21,4.4
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,44.0,45.5,2.0,13.5,47.0,20.75,43.75,75.0,0.5,3.25,168.5,37.75
Palmeiras,Palmeiras - EBDA,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.46799,-41.617801,0.0,0.0,0.0,0.0,1.5,0.0,8.0,0.0,0.0,0.0,81.0,22.5
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524062,-40.299714,8.0,22.8,5.81,7.61,19.2,31.0,24.2,26.21,1.4,5.4,35.8,1.41
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.131694,-40.354222,5.2,58.2,11.8,8.21,25.0,34.41,34.0,55.4,5.6,6.8,78.8,5.81
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,5.9,19.81,4.7,7.2,20.3,26.7,24.0,27.9,1.3,4.8,36.9,1.0
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,15.3,139.0,4.71,6.6,62.31,58.7,30.7,32.8,0.3,62.31,121.5,4.6
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,36.01,57.9,12.5,0.1,25.0,19.0,20.6,30.1,0.61,1.9,145.0,24.2
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,47.0,87.2,2.2,26.6,60.41,38.2,73.01,117.21,3.61,9.6,162.4,44.81
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,52.0,54.75,3.25,4.25,35.0,67.75,46.95,56.5,3.5,8.0,88.5,0.55
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,4.75,10.25,3.75,12.75,15.75,9.0,17.0,15.5,0.75,2.5,71.75,1.75
Tapiramutá,Tapiramutá - PG-PR-09,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.838502,-40.791761,17.0,26.25,1.0,3.0,40.0,40.0,29.5,55.0,3.5,6.75,67.5,0.25
Coronel João Sá,Coronel João Sá - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.284624,-37.917698,0.0,6.0,0.0,7.81,20.1,56.0,47.6,49.4,33.6,3.8,3.0,0.0
Abaré,Abaré - EBDA,Nordeste,RPGA dos Rios Macururé e Curaçá,-8.71792,-39.117725,0.0,38.7,14.7,0.0,6.5,0.0,11.5,0.0,0.0,0.0,5.0,0.0
Chorrochó,Chorrochó - EBDA,Nordeste,RPGA dos Rios Macururé e Curaçá,-8.984593,-39.101059,36.0,38.3,3.9,0.0,1.4,0.0,6.2,0.0,0.0,0.0,3.9,0.0
Cansanção,Cansanção - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.66796,-39.501074,0.0,74.9,7.5,0.0,0.0,4.5,11.3,16.21,7.3,0.0,29.71,0.0
Paulo Afonso,Paulo Afonso - A411,Nordeste,RPGA dos Rios Macururé e Curaçá,-9.379325,-38.227424,0.2,67.81,1.4,4.0,22.2,24.0,62.4,42.0,20.0,4.6,9.6,0.0
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083333,-38.516667,8.3,63.91,13.7,1.5,22.0,18.6,45.7,56.11,33.1,13.3,27.9,1.2
Jacobina,Jacobina - 83186,Nordeste,RPGA do Rio Itapicuru,-11.172778,-40.534167,5.5,87.5,9.71,4.3,19.01,19.9,20.41,41.2,3.0,0.0,102.11,12.71
Monte Santo,Monte Santo - 83090,Nordeste,RPGA do Rio Itapicuru,-10.4425,-39.331111,1.3,10.3,1.0,0.2,13.91,19.3,35.0,49.5,14.0,2.4,68.6,1.0
Paulo Afonso,Paulo Afonso - 82986,Nordeste,RPGA dos Rios Macururé e Curaçá,-9.379325,-38.227424,0.0,57.5,0.0,0.0,18.4,20.31,41.0,27.4,14.9,1.6,9.5,0.0
Serrinha,Serrinha - 83190,Nordeste,RPGA do Recôncavo Norte,-11.633333,-38.966667,9.4,18.01,4.6,10.9,30.8,46.2,44.5,49.7,27.2,11.5,57.1,0.0
Conde,Conde - A431,Nordeste,RPGA do Rio Itapicuru,-12.03622,-37.68322,72.2,69.81,38.2,27.6,224.41,167.0,172.0,110.6,43.4,44.2,33.01,17.2
Uauá,Uauá - A435,Nordeste,RPGA do Rio Vaza-Barris,-9.833617,-39.495631,6.0,25.4,0.0,0.8,12.8,3.0,9.8,18.8,3.2,0.6,13.6,4.6
Euclides da Cunha,Euclides da Cunha - A442,Nordeste,RPGA do Rio Itapicuru,-10.537233,-38.996605,5.2,38.41,3.2,2.81,26.6,34.0,75.6,79.6,25.2,8.8,41.0,7.8
Queimadas,Queimadas - A436,Nordeste,RPGA do Rio Itapicuru,-10.984645,-39.617009,10.4,34.8,13.0,0.4,123.4,28.4,50.2,80.21,13.6,2.41,53.41,15.0
Jacobina,Jacobina - A440,Nordeste,RPGA do Rio Itapicuru,-11.205136,-40.464979,1.4,104.4,13.41,6.6,32.81,44.4,24.0,47.2,4.0,5.4,105.01,11.4
Serrinha,Serrinha - A441,Nordeste,RPGA do Rio Paraguaçu,-11.664586,-39.022946,11.21,10.0,2.81,9.2,38.41,52.8,45.21,56.0,31.0,11.6,48.61,0.8
Canudos,Canudos - EBDA - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-9.897945,-39.027448,4.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipirá,Ipirá - PG-CL-02,Nordeste,RPGA do Rio Paraguaçu,-12.14986,-39.76454,5.25,33.0,31.0,11.25,24.0,40.1,65.2,80.99,10.5,5.5,131.0,0.0
Serrinha,Serrinha - RN-CL-02,Nordeste,RPGA do Recôncavo Norte,-11.648333,-38.982777,9.0,35.75,5.5,11.0,48.0,54.5,39.75,53.25,18.0,4.0,125.0,6.5
Caém,Caém - IT-PR-35,Nordeste,RPGA do Rio Itapicuru,-11.093399,-40.437579,2.0,41.0,10.0,0.75,29.5,45.75,27.0,61.5,11.0,2.75,38.0,4.25
Jacobina,Jacobina (Tombador Araújo) - IT-PR-36,Nordeste,RPGA do Rio Itapicuru,-11.168677,-40.670642,12.0,45.25,6.5,2.5,16.5,22.5,15.25,25.25,3.5,0.0,129.0,0.75
Candeal,Candeal - EBDA,Nordeste,RPGA do Rio Paraguaçu,-11.80132,-39.117735,0.0,0.0,0.0,0.0,36.0,35.3,37.7,32.4,10.0,9.9,83.7,0.0
Cipó,Cipó - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.101305,-38.517717,0.0,76.0,16.2,0.5,22.3,17.0,40.4,59.0,40.6,8.8,49.4,0.0
Antas,Antas - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.401293,-38.334375,0.0,50.0,11.0,0.0,52.0,20.0,68.0,77.0,45.0,0.0,15.0,0.0
Cícero Dantas,Cícero Dantas - EBDA,Nordeste,RPGA do Rio Real,-10.584629,-38.384377,0.0,50.0,22.0,1.5,63.0,33.5,77.0,115.5,58.6,8.5,20.0,2.0
Adustina,Adustina - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.534629,-38.117704,0.0,12.8,2.7,0.0,80.5,38.6,94.5,80.0,0.0,31.7,0.0,0.0
Andorinha,Andorinha - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.33462,-39.834414,3.2,40.5,6.0,0.0,18.5,4.5,16.0,23.0,0.0,0.0,51.5,1.5
Caldeirão Grande,Caldeirão Grande - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.017965,-40.301095,30.0,7.0,0.0,0.0,28.0,39.0,52.0,0.0,0.0,55.0,70.0,30.0
Casa Nova,Casa Nova - EBDA,Norte,RPGA do Lago de Sobradinho,-9.08459,-40.617764,4.0,57.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,21.5
Central,Central - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.151293,-42.11781,73.0,42.5,10.1,0.0,1.0,0.0,0.0,0.0,0.0,37.5,112.0,5.5
Ibipeba,Ibipeba - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.634638,-42.034476,44.4,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,147.3,20.9
Ibititá,Ibititá - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.523108,-41.976085,40.0,30.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,36.1,131.2,4.0
Irecê,Irecê - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.317966,-41.867804,32.0,83.7,0.0,0.0,14.4,0.0,0.6,0.6,0.0,78.5,166.71,6.9
João Dourado,João Dourado - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.334633,-41.651131,50.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5,21.0
Jussara,Jussara - EBDA,Norte,RPGA do Rio Salitre,-11.051296,-40.96778,40.0,38.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,66.0,3.5
Lapão,Lapão - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.367966,-41.817803,35.4,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.2,5.7
Presidente Dutra,Presidente Dutra - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.284632,-41.651131,25.5,62.2,6.8,0.0,19.2,0.0,0.0,0.0,0.0,0.0,151.1,9.4
Uibaí,Uibaí - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.334632,-42.134477,38.4,100.1,9.0,0.0,24.2,0.0,0.0,0.0,0.0,0.0,131.5,4.5
Remanso,Remanso - A423,Norte,RPGA do Lago de Sobradinho,-9.625693,-42.077214,9.2,77.8,16.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,105.8,23.8
Irecê,Irecê - A424,Norte,RPGA dos Rios Verde e Jacaré,-11.328998,-41.864504,51.6,77.0,0.6,0.0,5.4,0.0,3.6,0.4,0.0,0.0,123.4,35.2
América Dourada,América Dourada - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.384635,-41.584464,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,8.0
São Gabriel,São Gabriel - EBDA,Norte,RPGA dos Rios Verde e Jacaré,-11.134629,-41.867803,64.0,58.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,155.0,8.0
Irecê,Irecê - 83182,Norte,RPGA dos Rios Verde e Jacaré,-11.3,-41.866667,38.8,91.9,0.0,0.0,10.6,1.2,0.8,0.0,0.0,0.0,156.0,12.8
Umburanas,Umburanas (Delfino) - A443,Norte,RPGA do Rio Salitre,-10.45492,-41.206996,44.2,46.81,9.2,0.0,4.0,15.0,3.2,11.2,3.0,0.0,73.4,40.6
Juazeiro,Juazeiro - Est. Exp. Caraíbas - EBDA,Norte,RPGA dos Rios Macururé e Curaçá,-9.418208,-40.510817,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0
Irecê,Irecê - VJ-CL-01,Norte,RPGA dos Rios Verde e Jacaré,-11.289166,-41.894166,60.25,57.0,0.25,0.0,7.75,0.0,0.25,0.5,0.0,0.0,157.75,5.73
Taquarendi,Taquarendi,Norte,RPGA do Rio Salitre,-10.893669,-40.687028,30.6,9.0,9.6,0.0,3.81,11.0,5.4,16.2,2.0,0.0,51.21,1.2
Barreiras,Barreiras (Form. Rio Preto) - 46550000,Oeste,RPGA do Rio Grande,-11.154444,-45.009166,107.51,57.7,47.41,6.11,9.8,1.2,0.0,0.0,0.6,15.7,286.0,34.3
Formosa do Rio Preto,Formosa do Rio Preto (COACERAL) - GR-CL-02,Oeste,RPGA do Rio Grande,-10.561944,-45.693333,82.25,112.25,146.25,79.5,17.0,0.0,0.0,0.0,0.0,6.5,311.5,1.75
São Desidério,São Desidério - R. Velha - GR-CL-01,Oeste,RPGA do Rio Grande,-12.898055,-46.157222,72.25,101.5,57.25,92.0,19.5,0.25,0.0,0.0,0.0,21.5,426.0,54.75
Ponte do Fortunato,Ponte do Fortunato,Oeste,RPGA do Rio Carinhanha,-14.642348,-45.503045,125.5,10.5,72.0,12.75,22.5,0.0,0.0,0.0,4.25,5.0,206.25,64.5
Barreiras,Barreiras - 83236,Oeste,RPGA do Rio Grande,-12.155556,-45.007778,110.6,64.9,46.7,3.81,5.8,1.1,0.0,0.0,0.2,15.3,298.9,35.2
Conceição da Feira,Conceição da Feira - EBDA,Recôncavo,RPGA do Recôncavo Norte,-12.501335,-39.001068,11.0,12.5,12.5,10.5,84.0,50.1,39.5,123.5,50.0,6.5,109.0,0.0
Salvador,Salvador (Ondina) - 83229,Recôncavo,RPGA do Recôncavo Norte,-13.005278,-38.505833,35.7,70.9,74.7,48.81,411.5,170.2,162.51,137.4,30.7,73.61,35.5,10.7
Salvador,Salvador - CIA,Recôncavo,RPGA do Recôncavo Norte,-12.865789,-38.365219,46.5,73.0,77.0,124.1,550.5,144.5,136.0,224.1,33.5,45.5,27.6,19.0
Salvador,Salvador (Abaeté) - RN-PR-01,Recôncavo,RPGA do Recôncavo Norte,-12.945407,-38.361404,46.7,72.0,36.1,56.0,368.6,94.9,108.31,103.01,27.8,51.6,39.0,3.2
Cruz das Almas,Cruz das Almas - A406,Recôncavo,RPGA do Rio Paraguaçu,-12.675422,-39.08958,25.6,52.41,17.2,53.21,73.81,109.4,96.2,134.0,48.0,34.81,50.41,11.0
Salvador,Salvador - Canabrava,Recôncavo,RPGA do Recôncavo Norte,-12.924122,-38.429942,36.41,49.1,76.8,99.2,521.3,136.51,175.4,169.21,29.41,38.9,48.2,13.61
Salvador,Salvador - Inema -Monte Serrat,Recôncavo,RPGA do Recôncavo Norte,-12.930789,-38.517167,28.41,58.3,51.3,56.31,457.21,122.41,141.9,132.1,40.11,81.4,85.2,24.8
Salvador,Salvador - 19 BC,Recôncavo,RPGA do Recôncavo Norte,-12.961069,-38.461056,23.6,18.7,86.2,85.01,550.31,151.9,230.91,124.1,26.11,28.9,70.2,10.9
