municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.131694,-40.354222,4.0,90.2,4.4,28.2,72.01,97.2,52.81,50.61,10.8,7.81,1.21,7.2
Itaberaba,Itaberaba - 83244,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.516667,-40.283333,5.6,151.4,4.7,64.0,37.2,37.9,52.7,17.41,1.5,14.2,41.2,3.0
Lençóis,Lençóis - 83242,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.5575,-41.388889,3.5,153.8,107.3,151.01,59.2,79.4,50.51,43.81,1.1,13.11,37.7,35.9
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.216667,-41.216667,13.2,74.61,7.7,61.3,37.81,51.1,37.1,38.2,2.7,7.1,44.0,10.4
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.155681,-41.774125,10.21,135.2,21.4,142.21,91.4,78.6,64.2,81.6,1.4,40.4,93.0,92.4
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.557854,-41.388808,3.8,159.0,101.6,147.4,65.0,80.81,53.0,45.61,1.0,15.4,42.41,33.0
Iaçu,Iaçu (João Amaro) - PG-PR-16,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.800391,-40.363139,5.0,66.0,2.75,31.5,59.0,22.5,29.75,18.75,0.5,25.25,41.5,1.75
Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.65622,-40.589813,2.25,113.25,19.5,57.5,74.0,22.75,25.0,15.5,0.25,8.25,50.0,0.5
Mucugê,Mucugê (Cascavel) - PG-PR-27,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.285954,-41.287619,8.25,53.5,38.75,81.25,35.25,23.0,26.75,31.0,1.0,28.25,38.5,2.0
Mulungu do Morro,Mulungu do Morro,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.980363,-41.619012,14.0,78.4,2.2,52.4,30.6,17.2,15.0,4.61,1.0,1.8,39.0,1.0
Barro Alto,Barro Alto,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.769188,-41.909464,1.6,77.61,6.8,59.8,7.2,7.81,6.4,1.0,0.2,3.41,30.0,5.2
Canarana,Canarana,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.69541,-41.78921,8.0,89.4,10.61,165.2,12.0,1.8,1.0,3.81,0.0,1.2,13.8,40.6
Barra dos Mendes,Barra dos Mendes,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.805077,-42.05708,1.4,65.4,33.6,109.4,23.8,6.2,2.01,0.8,0.0,4.4,36.0,5.81
Olho D'Água do Francisco,Olho D'Água do Francisco,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-12.307034,-42.079028,0.0,130.8,15.6,23.6,0.2,0.0,0.2,0.4,0.4,3.0,1.0,0.8
Cafarnaum,Cafarnaum,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,-11.676688,-41.470143,0.0,101.0,17.4,16.2,9.2,1.2,0.61,2.2,6.01,16.8,58.2,19.0
Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.05379,-40.83722,1.75,81.75,32.25,41.25,94.75,105.0,65.25,65.0,5.5,9.75,2.25,3.75
Marcionílio Souza,Marcionílio Souza - PG-CL-03,Chapada Diamantina,RPGA do Rio Paraguaçu,-13.00021,-40.537783,12.75,76.0,15.75,95.25,24.75,30.5,11.75,10.75,0.25,34.0,11.75,1.0
Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,Chapada Diamantina,RPGA do Rio Paraguaçu,-11.650911,-40.951765,6.25,49.0,1.75,68.5,24.25,25.25,21.5,19.75,2.0,3.25,11.75,4.25
Piatã,Piatã - CO-CL-04,Chapada Diamantina,RPGA do Rio de Contas,-13.164166,-41.770833,8.75,141.5,19.0,86.25,89.0,51.75,32.75,55.25,0.5,54.75,56.75,90.75
Paulo Afonso,Paulo Afonso - A411,Nordeste,RPGA dos Rios Macururé e Curaçá,-9.379325,-38.227424,5.2,57.61,13.6,44.2,0.4,32.6,52.2,12.2,7.8,13.6,0.0,35.2
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083333,-38.516667,17.7,98.7,8.6,57.0,113.11,89.9,72.0,78.01,12.41,27.7,3.6,19.0
Monte Santo,Monte Santo - 83090,Nordeste,RPGA do Rio Itapicuru,-10.4425,-39.331111,21.7,176.8,1.1,57.8,120.3,73.4,66.7,41.5,7.1,6.1,0.0,1.4
Serrinha,Serrinha - 83190,Nordeste,RPGA do Recôncavo Norte,-11.633333,-38.966667,16.4,56.7,17.31,106.11,113.4,121.51,64.1,57.4,21.21,39.2,1.0,7.9
Uauá,Uauá - A435,Nordeste,RPGA do Rio Vaza-Barris,-9.833617,-39.495631,0.2,84.81,43.81,94.6,32.4,11.01,14.4,5.4,1.8,1.4,0.0,6.0
Euclides da Cunha,Euclides da Cunha - A442,Nordeste,RPGA do Rio Itapicuru,-10.537233,-38.996605,0.0,59.6,14.6,111.61,169.0,97.61,52.6,88.21,13.2,16.0,5.4,13.2
Queimadas,Queimadas - A436,Nordeste,RPGA do Rio Itapicuru,-10.984645,-39.617009,4.61,79.6,24.21,57.6,58.01,71.0,36.8,27.0,5.2,12.8,1.6,1.0
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.18288,-40.04725,15.21,84.0,8.4,97.61,36.8,39.6,41.21,24.4,5.6,9.2,3.8,14.2
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.1128,12.2,95.4,7.6,155.2,75.81,85.85,49.6,32.8,1.8,15.6,1.0,12.4
Ipirá,Ipirá - PG-CL-02,Nordeste,RPGA do Rio Paraguaçu,-12.14986,-39.76454,1.0,99.75,20.7,134.0,64.75,119.8,40.75,42.75,5.75,1.75,0.75,2.5
Serrinha,Serrinha - RN-CL-02,Nordeste,RPGA do Recôncavo Norte,-11.648333,-38.982777,27.0,76.75,43.25,139.0,116.75,169.25,53.0,57.75,48.5,16.0,3.0,24.5
Valente,Valente - PG-PR-04,Nordeste,RPGA do Rio Paraguaçu,-11.40119,-39.458099,2.5,47.75,5.75,46.75,67.0,56.0,52.25,30.75,0.25,2.25,0.0,1.5
Jacobina,Jacobina (Itapeipu) - IT-PR-34,Nordeste,RPGA do Rio Itapicuru,-11.315629,-40.356742,27.0,216.25,9.25,163.75,148.0,76.0,38.5,33.25,1.75,10.25,0.5,8.0
Jacobina,Jacobina (Tombador Araújo) - IT-PR-36,Nordeste,RPGA do Rio Itapicuru,-11.168677,-40.670642,39.25,181.5,15.75,202.5,38.25,65.0,45.0,33.0,2.0,12.5,19.5,2.75
Queimadas,Queimadas (Riacho da Onça) - IT-PR-15,Nordeste,RPGA do Rio Itapicuru,-11.24424,-39.790055,5.5,17.5,4.75,30.25,45.25,61.5,33.75,27.0,2.5,16.0,0.0,11.5
Santaluz,Santaluz - IT-PR-17,Nordeste,RPGA do Rio Itapicuru,-11.24831,-39.37563,16.75,22.75,2.75,57.5,37.0,39.5,41.5,24.75,4.75,7.25,0.25,1.25
Nordestina,Nordestina (Açude Monteiro) - IT-PR-23,Nordeste,RPGA do Rio Itapicuru,-10.77645,-39.559491,6.0,75.0,26.75,18.25,62.0,66.25,24.75,17.5,8.0,16.25,5.5,3.0
Monte Santo,Monte Santo (Pedra Vermelha) - IT-PR-24,Nordeste,RPGA do Rio Itapicuru,-10.454497,-39.559488,1.75,153.5,4.0,64.75,97.75,46.5,37.25,18.25,2.75,5.0,8.0,2.0
Quijingue,Quijingue - IT-PR-25,Nordeste,RPGA do Rio Itapicuru,-10.783951,-39.20809,8.25,57.75,10.75,17.5,94.25,44.25,20.5,13.75,20.25,20.75,0.0,1.0
Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,Nordeste,RPGA do Rio Itapicuru,-10.697843,-38.5714,12.25,46.5,10.0,78.25,154.75,79.25,36.25,60.5,8.0,11.75,2.75,27.5
Euclides da Cunha,Euclides da Cunha (Aribicé) - IT-PR-02,Nordeste,RPGA do Rio Itapicuru,-10.557835,-38.793352,11.25,84.0,1.75,62.0,116.5,52.5,40.5,36.25,24.75,22.25,5.25,33.75
Quijingue,Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,Nordeste,RPGA do Rio Itapicuru,-10.7105,-38.9227,3.75,25.5,7.5,71.5,87.25,44.0,34.5,42.5,17.75,14.5,0.25,15.5
Olindina,Olindina - IT-PR-11,Nordeste,RPGA do Rio Itapicuru,-11.343693,-38.318892,23.75,30.25,6.5,102.25,95.5,73.0,41.0,28.5,29.75,26.0,2.0,3.0
Irecê,Irecê - 83182,Norte,RPGA dos Rios Verde e Jacaré,-11.3,-41.866667,28.4,116.4,8.7,58.7,4.3,0.6,0.61,0.0,0.0,1.0,40.7,21.2
Remanso,Remanso - 82979,Norte,RPGA do Lago de Sobradinho,-9.633333,-42.1,1.3,37.5,26.2,81.4,0.5,0.1,1.8,0.0,0.0,0.8,12.11,0.0
Remanso,Remanso - A423,Norte,RPGA do Lago de Sobradinho,-9.625693,-42.077214,1.4,39.2,27.0,80.4,0.6,0.4,2.2,1.6,0.0,1.2,13.41,0.0
Irecê,Irecê - A424,Norte,RPGA dos Rios Verde e Jacaré,-11.328998,-41.864504,26.4,122.61,9.8,64.2,4.0,3.0,2.2,0.61,0.0,0.2,28.4,21.8
