nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_22,02_01_22,03_01_22,04_01_22,05_01_22,06_01_22,07_01_22,08_01_22,09_01_22,10_01_22,11_01_22,12_01_22,13_01_22,14_01_22,15_01_22,16_01_22,17_01_22,18_01_22,19_01_22,20_01_22,21_01_22,22_01_22,23_01_22,24_01_22,25_01_22,26_01_22,27_01_22,28_01_22,total
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.514289999999999,-39.93422,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,7.2
Ibicoara,PG-FR-10,Ibicoara,Ibicoara - PG-FR-10,-13.433979999999998,-41.34023,Chapada Diamantina,RPGA do Rio Paraguaçu,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,36.1
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,3.8,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.8,0.0,3.8,0.4,0.0,32.2
Jacobina,83186,Jacobina,Jacobina - 83186,-11.172778,-40.534167,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,3.3,0.0,2.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,17.4,3.7,21.4,10.1,74.6
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.0,0.2,0.0,3.8,0.0,0.0,0.0,0.2,2.2,0.0,0.0,0.0,0.0,0.2,0.0,6.4,0.0,1.8,2.6,27.8,22.4,74.8
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316000000001,-40.517837,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,6.2,0.4,4.0,0.2,0.0,2.4,1.6,0.0,0.0,0.4,6.0,0.2,0.0,0.0,0.0,0.2,0.2,13.4,0.0,9.0,5.4,23.2,11.4,84.2
Conde,A431,Conde,Conde - A431,-12.03622,-37.68322,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,29.2,1.0,0.4,0.0,0.0,13.6,12.0,12.4,0.0,0.0,1.2,2.2,23.2,109.81
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,17.8,0.0,5.6,0.8,30.41
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.1128,Nordeste,RPGA do Rio Itapicuru,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0,2.8,4.2,0.0,0.0,0.0,9.8,0.2,0.0,0.0,0.0,0.0,20.8,0.0,0.0,9.4,0.2,5.2,0.2,55.21
Pé de Serra,PG-CL-07,Pé de Serra,Pé de Serra - PG-CL-07,-11.83676,-39.65905,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.4,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,2.4,10.8,0.0,0.2,0.2,2.4,0.0,0.0,5.2,2.2,0.0,1.2,39.41
Caldas do Jorro,IT-CL-05,Tucano,Tucano (Caldas do Jorro) - IT-CL-05,-11.03477,-38.80386,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.6,0.0,0.0,0.0,0.8,10.0,0.0,0.0,0.0,0.0,38.6,0.2,0.2,10.2,0.0,0.0,0.4,0.0,81.81
Saúde,IT-CL-04,Saúde,Saúde - IT-CL-04,-10.95669,-40.38329,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,2.6,1.4,15.2,0.0,0.0,5.4,0.0,0.0,0.0,0.0,10.4,0.0,0.0,1.6,0.0,0.6,0.0,1.6,0.0,10.4,0.0,0.0,0.0,49.2
Lajinha,IT-CL-06,Várzea do Poço,Várzea do Poço (Lajinha) - IT-CL-06,-11.4964,-40.34474,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.4,0.8,0.0,0.0,15.0,0.0,0.0,0.0,7.2,0.0,6.2,0.6,33.81
Ipirá,PG-CL-02,Ipirá,Ipirá - PG-CL-02,-12.14986,-39.764540000000004,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.4,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.2,2.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,50.2
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,Nordeste,RPGA do Rio Itapicuru,0.0,0.2,0.0,0.0,0.0,0.2,1.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.4,0.6,0.0,0.0,0.0,0.6,0.0,0.2,0.0,3.0,0.0,7.0,0.2,16.2
Caém,IT-PR-35,Caém,Caém - IT-PR-35,-11.093399,-40.437579,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.4,0.0,0.0,4.6,19.2,22.4,0.0,0.0,0.0,0.2,0.0,0.0,1.2,14.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,1.6,5.4,2.8,4.8,77.0
