nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_04_22,02_04_22,03_04_22,04_04_22,05_04_22,06_04_22,07_04_22,08_04_22,09_04_22,10_04_22,11_04_22,12_04_22,13_04_22,14_04_22,15_04_22,16_04_22,17_04_22,18_04_22,total
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788344,-38.396864,Recôncavo,RPGA do Recôncavo Norte,1.2,4.8,20.2,20.2,20.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,41.2,19.2,151.2
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005278,-38.505833,Recôncavo,RPGA do Recôncavo Norte,0.0,22.0,2.8,10.3,19.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,42.9,106.3,244.3
Centro,292740802A,Salvador,Salvador (Centro) - 292740802A,-12.97821,-38.515945,Recôncavo,RPGA do Recôncavo Norte,0.0,18.72,3.94,11.05,7.89,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57,39.37,86.03,211.77
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.795508,-38.489389,Recôncavo,RPGA do Recôncavo Norte,0.0,4.34,4.56,6.11,15.23,4.56,0.79,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86,47.39,50.43,167.47
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.000791,-38.511056,Recôncavo,RPGA do Recôncavo Norte,0.0,20.67,4.53,12.01,17.54,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31,41.42,97.74,223.81
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.961347,-38.460778,Recôncavo,RPGA do Recôncavo Norte,0.2,19.11,9.84,2.58,8.49,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.98,33.28,42.38,157.6
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.97718,-38.453834,Recôncavo,RPGA do Recôncavo Norte,1.96,21.46,8.07,9.06,11.11,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.48,27.78,36.99,162.71
Águas Claras,292740808A,Salvador,Salvador (Águas Claras) - 292740808A,-12.8944,-38.441889,Recôncavo,RPGA do Recôncavo Norte,0.0,9.88,5.71,7.69,11.48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.98,46.27,38.18,143.4
Alto do Peru,292740812A,Salvador,Salvador (Alto do Peru) - 292740812A,-12.939122,-38.486334,Recôncavo,RPGA do Recôncavo Norte,0.0,22.87,9.3,3.56,23.11,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16,43.89,60.07,203.94
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,0.0,8.28,7.68,4.55,8.73,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06,30.54,38.93,119.37
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,0.0,20.88,3.55,19.39,12.79,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,53.96,58.81,203.02
São Caetano,292740814A,Salvador,Salvador (São Caetano) - 292740814A,-12.939678,-38.474667,Recôncavo,RPGA do Recôncavo Norte,0.0,21.85,7.71,3.35,24.85,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.15,37.96,49.18,185.43
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,0.0,5.73,10.39,9.65,12.23,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57,53.55,50.16,193.46
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,0.0,4.73,8.47,9.06,16.48,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.68,44.24,43.4,160.25
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,0.0,3.74,13.23,2.37,9.68,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53,45.43,71.57,181.5
Monte Serrat,292740804A,Salvador,Salvador (Monte Serrat) - 292740804A,-12.930789,-38.517167,Recôncavo,RPGA do Recôncavo Norte,0.0,16.14,7.68,5.55,14.41,0.39,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,39.17,60.21,47.49,191.24
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647172,-38.539112,Recôncavo,RPGA do Recôncavo Norte,0.0,2.37,7.1,6.49,5.33,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.91,74.66,52.92,196.76
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,4.92,8.67,5.53,12.47,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42,51.36,60.89,183.59
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,0.0,3.94,10.25,4.73,6.51,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.86,56.27,49.29,168.38
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.337,Recôncavo,RPGA do Recôncavo Norte,2.55,9.89,15.61,5.32,22.11,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,103.13,35.72,199.47
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,2.55,10.49,22.85,0.79,4.16,6.29,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,69.37,73.76,203.26
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,0.2,1.0,1.2,1.0,1.2,5.39,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,14.24,34.53,62.73
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,2.76,8.86,28.32,7.68,33.72,0.59,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,107.08,47.72,244.4
Dois de Julho,291120401A,Gandú,Gandú (Dois de Julho) - 291120401A,-13.741357,-39.48303,Recôncavo,RPGA do Recôncavo Sul,0.59,0.78,10.89,0.2,2.56,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.24,19.14,16.33,122.81
Rua São Roque,293290301A,Valença,Valença (Rua São Roque) - 293290301A,-13.363,-39.078,Recôncavo,RPGA do Recôncavo Sul,0.0,5.72,25.43,4.33,15.6,2.95,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.32,2.01,95.35,220.51
CIA,293070902A,Simões Filho,Simões Filho (CIA) - 293070902A,-12.825461,-38.409051,Recôncavo,RPGA do Recôncavo Norte,0.6,7.2,19.6,6.0,36.4,3.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,41.4,47.2,192.8
Milagres,RS-CL-02,Milagres,Milagres - RS-CL-02,-12.91389,-39.74351,Recôncavo,RPGA do Recôncavo Sul,0.0,2.0,0.4,2.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,40.8,0.0,0.6,51.2
PC Argoim,51351000,Rafael Jambeiro,Rafael Jambeiro (PC Argoim) - 51351000,-12.5867,-39.5217,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.2,4.2,4.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.2,0.4,28.0
PC Rio Paratigi,51370000,Santo Estevão,Santo Estevão (PC Rio Paratigi) - 51370000,-12.51503,-39.38272,Recôncavo,RPGA do Rio Paraguaçu,0.2,1.2,9.2,6.4,4.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.2,5.2,73.01
Cândido Sales,53620000,Cândido Sales,Cândido Sales - 53620000,-15.512891,-41.236629,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,48.2,0.0,50.0
Itiruçu,A407,Itiruçu,Itiruçu - A407,-13.52629,-40.12055,Sudoeste,RPGA do Recôncavo Sul,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,10.2,8.6,96.6
Vitória da Conquista,A414,Vitória da Conquista,Vitória da Conquista - A414,-14.886428,-40.80133,Sudoeste,RPGA do Rio Pardo,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,1.2,2.2,37.81
Lagoa,291760701A,Jaguaquara,Jaguaquara (Lagoa) - 291760701A,-13.523228,-39.968685,Sudoeste,RPGA do Recôncavo Sul,0.2,0.0,9.6,0.4,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,8.8,9.2,84.2
Entroncamento,291760702A,Jaguaquara,Jaguaquara (Entroncamento) - 291760702A,-13.509869,-40.05461,Sudoeste,RPGA do Recôncavo Sul,0.0,0.0,3.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.2,5.4,9.0,122.2
Vitória da Conquista,83344,Vitória da Conquista,Vitória da Conquista - 83344,-14.883333,-40.8,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,2.0,2.6,41.2
Brumado,A433,Brumado,Brumado - A433,-14.181886,-41.672281,Sudoeste,RPGA do Rio de Contas,0.0,0.0,0.4,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,5.4,0.2,62.0
Clerolândia,291640101A,Itapetinga,Itapetinga (Clerolândia) - 291640101A,-15.243,-40.221,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,0.2,0.2,10.46
Recreio,293330702A,Vitória da Conquista,Vitória da Conquista (Recreio) - 293330702A,-14.861,-40.841,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.4,1.2,35.06
Patagônia,293330704A,Vitória da Conquista,Vitória da Conquista (Patagônia) - 293330704A,-14.87,-40.863,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.6,49.41
Barcelar,293330705A,Vitória da Conquista,Vitória da Conquista (Barcelar) - 293330705A,-14.838,-40.856,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.72,0.2,0.6,31.52
Lomantão,293330703A,Vitória da Conquista,Vitória da Conquista (Lomantão) - 293330703A,-14.87,-40.827,Sudoeste,RPGA do Rio Pardo,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.2,1.0,27.55
Fz Nanci,53880000,Camacã,Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,Sul,RPGA do Rio Pardo,0.0,1.2,2.0,2.0,5.8,3.4,0.0,0.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.6,0.4,35.2
PCH Cach. da Lixa M,55354000,Jucuruçu,Jucuruçu (PCH Cach. da Lixa M) - 55354000,-17.06703,-40.068619,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6
PCH Colino II M,55355600,Vereda,Vereda (PCH Colino II M) - 55355600,-17.07126,-40.15474,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.25,2.25,0.0,0.0,0.0,20.5,0.0,0.25,0.0,2.25,0.0,0.25,0.0,30.75,4.0,3.0,63.5
Itajuípe,,Itajuípe,Itajuípe,-14.6744,-39.3769,Sul,RPGA do Leste,0.0,0.0,2.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.4,3.2,10.2,143.4
Caravelas,83498,Caravelas,Caravelas - 83498,-17.739167,-39.258333,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,0.0,11.0,6.8,9.4,0.0,0.0,0.8,10.0,0.0,0.0,0.0,11.5,0.8,2.2,52.5
Barra do Rocha,290310201A,Barra do Rocha,Barra do Rocha - 290310201A,-14.208644,-39.598562,Sul,RPGA do Rio de Contas,0.2,1.2,9.2,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6,15.2,5.2,101.0
Novo Horizonte,291180801A,Guaratinga,Guaratinga (Novo Horizonte) - 291180801A,-16.582916,-39.780555,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,2.6,0.0,4.2,4.2,0.2,0.0,0.2,3.0,0.0,0.0,3.0,0.0,0.0,0.0,13.2,0.0,1.8,32.4
CPLAC,LE-CL-02,Jussari,Jussari (CPLAC) - LE-CL-02,-15.18683,-39.48713,Sul,RPGA do Leste,0.0,1.8,1.2,0.0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.4,3.4,22.4
Centro,291560101A,Itamaraju,Itamaraju (Centro) - 291560101A,-17.027541,-39.534994,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.8,2.6,0.8,0.0,0.0,1.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,6.21
Pau Brasil,292390201A,Pau Brasil,Pau Brasil - 292390201A,-15.46122,-39.65225,Sul,RPGA do Rio Pardo,0.0,0.8,4.6,1.4,9.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,6.6,1.0,52.6
Centro,292805901A,Santa Luzia,Santa Luzia (Centro) - 292805901A,-15.42976,-39.332759,Sul,RPGA do Leste,0.0,1.2,2.8,0.4,23.0,5.6,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,54.6,3.2,1.4,92.81
Mascote,53950000,Mascote,Mascote - 53950000,-15.565561,-39.302756,Sul,RPGA do Rio Pardo,0.0,3.8,6.6,3.2,0.6,5.2,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,56.0,2.0,1.4,80.2
PCH Colino I J,55357000,Jucuruçu,Jucuruçu (PCH Colino I J) - 55357000,-17.0822,-40.0772,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,2.0,0.0,2.75,0.75,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,18.25,2.0,3.5,29.75
Centro,290340901A,Belmonte,Belmonte (Centro) - 290340901A,-15.859179,-38.878025,Sul,RPGA do Rio Jequitinhonha,0.2,0.0,1.6,0.59,18.16,0.2,0.2,0.2,1.78,0.2,0.0,0.0,12.13,0.2,0.0,59.51,78.13,14.57,187.67
São João do Panelinha,290560202A,Camacan,Camacan (São João do Panelinha) - 290560202A,-15.375278,-39.489984,Sul,RPGA do Rio Pardo,0.0,1.76,3.93,1.99,12.03,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.17,5.57,2.97,63.07
Conquista,291360601A,Ilhéus,Ilhéus (Conquista) - 291360601A,-14.797213,-39.04608,Sul,RPGA do Leste,0.0,13.19,24.69,0.0,10.68,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,30.27,32.16,22.91,156.04
Malhado,291360602A,Ilhéus,Ilhéus (Malhado) - 291360602A,-14.789158,-39.048858,Sul,RPGA do Leste,0.2,9.26,26.13,0.2,7.49,21.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,34.24,18.72,146.13
São Caetano,291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.80638,-39.27803,Sul,RPGA do Leste,0.0,2.37,4.14,0.4,5.34,2.97,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,14.64,13.01,64.47
Nova Ferradas,291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857213,-39.346922,Sul,RPGA do Leste,0.0,0.0,7.49,0.4,6.89,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,7.5,9.67,55.59
Centro,292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.2,0.2,2.42,0.0,4.73,8.49,4.13,0.59,0.0,10.24,3.76,0.0,0.0,0.2,8.08,4.76,3.78,51.58
Posto da Mata,292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.59,0.0,3.17,0.0,6.49,10.71,7.48,0.0,0.0,4.33,6.31,0.0,0.0,0.2,9.84,7.9,0.99,58.02
Areião,292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,5.92,0.0,10.24,3.14,1.18,0.0,10.44,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.94,0.2,0.0,49.47
Estádio Municipal,291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089181,-39.615546,Sul,RPGA do Rio Jequitinhonha,0.0,0.2,2.76,0.99,0.4,1.19,0.6,0.0,19.88,0.0,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.99,39.46
Jusante,54945000,Itapebi,Itapebi (Jusante) - 54945000,-15.949206,-39.5225,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,0.2,4.8,4.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.4,0.0,42.4
Morpará,46360000,Morpará,Morpará - 46360000,-11.5583,-43.2825,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,1.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,7.6,44.6,0.0,0.0,0.0,0.0,54.2
Barra,83179,Barra,Barra - 83179,-11.083333,-43.166667,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.3,4.6,0.0,0.0,0.0,19.71
Bom Jesus da Lapa,83288,Bom Jesus da Lapa,Bom Jesus da Lapa - 83288,-13.251389,-43.405278,São Francisco,RPGA do Rio Carnaíba de Dentro,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.8,0.0,1.0,14.9
Buritirama,A432,Buritirama,Buritirama - A432,-10.722925,-43.651203,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.2,27.0,0.0,0.0,2.0,55.2
Ibotirama,A439,Ibotirama,Ibotirama - A439,-12.19306,-43.21342,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.2,0.0,0.0,5.4,25.21
Zabumbão,PM-PR-02,Paramirim,Paramirim (Zabumbão) - PM-PR-02,-13.43836,-42.21638,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4
Faz. Macambira,46675000,Cotegipe,Cotegipe (Faz. Macambira) - 46675000,-11.6106,-44.1567,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.2,0.0,0.0,9.6,0.8,31.2
Fz.P. Limpo,46870000,Mansidão,Mansidão (Fz.P. Limpo) - 46870000,-11.236845,-43.950633,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.4,0.0,3.4,20.4,46.2
Santa Maria da Vitória,45910001,Santa Maria da Vitória,Santa Maria da Vitória - 45910001,-13.4006,-44.1989,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,9.6,0.0,0.0,3.4,0.0,18.4
Bom Jesus da Lapa,45480000,Bom Jesus da Lapa,Bom Jesus da Lapa - 45480000,-13.2572,-43.435,São Francisco,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.2,0.2,0.8,0.2,0.0,0.4,0.0,0.6,0.0,0.2,0.8,0.0,0.4,0.4,3.8,3.2,0.0,0.2,11.4
Boqueirão,46902000,Mansidão,Mansidão (Boqueirão) - 46902000,-11.345255,-43.826056,São Francisco,RPGA do Rio Grande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,10.8,7.8,19.6
Xique-Xique,PM-CL-05,Xique-Xique,Xique-Xique - PM-CL-05,-10.82519,-42.68914,São Francisco,RPGA dos Rios Paramirim e Santo Onofre,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.2,0.0,0.0,47.2
