nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,4.4,11.4,17.0,0.6,2.0,0.0,1.4,6.6,1.4,0.0,0.0,44.8
Caém,IT-PR-35,Caém,Caém - IT-PR-35,-11.093399,-40.437579,Nordeste,RPGA do Rio Itapicuru,0.6,0.0,0.0,0.0,30.4,13.2,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49.41
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,0.0,0.8,0.8,0.2,16.0,6.8,0.0,6.4,0.4,0.2,3.6,0.0,0.0,0.0,35.2
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,Nordeste,RPGA do Rio Itapicuru,0.0,2.4,0.0,0.0,36.0,10.0,0.0,5.8,0.2,0.2,5.8,1.8,0.0,0.0,62.2
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.24831,-39.37563,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,5.4,6.0,1.8,0.0,0.0,0.0,0.8,2.0,0.0,0.0,0.0,16.0
Conde,A431,Conde,Conde - A431,-12.03622,-37.68322,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,5.6,9.4,0.2,0.4,0.0,0.0,0.0,0.8,1.0,3.2,0.0,20.8
Nordestina,IT-PR-22,Nordestina,Nordestina - IT-PR-22,-10.826728,-39.437543,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,22.6,5.4,4.8,2.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,35.4
Ribeira do Amparo,A458,Ribeira do Amparo,Ribeira do Amparo - A458,-11.058722,-38.444028,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,16.6,19.2,4.0,4.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,45.2
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,Nordeste,RPGA do Rio Itapicuru,0.0,2.4,0.0,2.4,8.6,0.0,0.0,0.0,0.6,0.6,0.4,1.4,14.2,0.0,30.6
Ribeira do Pombal,IT-PR-04,Ribeira do Pombal,Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.4,9.8,0.4,1.0,0.2,0.0,0.0,0.0,0.6,1.0,0.0,0.0,14.4
Crisópolis,IT-PR-08,Crisópolis,Crisópolis - IT-PR-08,-11.510923,-38.120832,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,32.6,2.8,1.2,2.8,0.0,0.0,5.2,0.2,0.4,0.0,0.0,45.2
Fazenda Laranjeiras III,IT-PR-09,Araci,Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,5.4,33.0,1.4,0.0,0.0,0.0,0.2,2.8,0.8,0.0,0.0,43.6
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.4,10.2,12.6,5.4,0.2,5.2,0.2,0.0,1.8,0.4,0.0,0.0,36.4
Fazenda Grutinha,IT-FR-13,Pindobaçu,Pindobaçu (Fazenda Grutinha) - IT-FR-13,-10.7589,-40.4367,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,6.8,96.6,2.8,2.8,13.4,0.2,0.8,0.0,2.2,3.0,0.0,128.8
Conde-Usina Altamira,IT-FR-27,Conde-Usina Altamira,Conde-Usina Altamira - IT-FR-27,-11.7347,-37.8033,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.6,50.0,11.0,16.8,7.4,5.4,3.8,2.6,4.8,5.4,0.4,0.2,109.41
Pedras Altas,50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.18288,-40.04725,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,1.2,26.6,15.0,5.8,5.4,0.0,8.0,0.2,0.0,0.0,0.0,62.4
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.1128,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,9.0,12.6,0.4,0.4,5.2,0.2,0.0,0.0,0.2,0.2,0.0,28.2
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,15.6,59.0,14.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,88.8
CODEVASF Salitre,MC-CL-01,Juazeiro,Juazeiro (CODEVASF Salitre) - MC-CL-01,-9.48778,-40.61333,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.4,51.4,5.2,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,59.6
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,5.8,12.0,9.4,0.0,3.4,0.0,0.0,3.8,0.0,0.0,0.0,34.4
