nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_05_19,02_05_19,03_05_19,04_05_19,05_05_19,06_05_19,07_05_19,08_05_19,09_05_19,10_05_19,11_05_19,12_05_19,13_05_19,14_05_19,15_05_19,16_05_19,17_05_19,18_05_19,19_05_19,20_05_19,21_05_19,22_05_19,23_05_19,24_05_19,25_05_19,26_05_19,27_05_19,28_05_19,29_05_19,30_05_19,31_05_19,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.8,6.6,1.2,0.4,0.0,0.6,0.2,0.0,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.4,0.0,0.4,0.2,17.4
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,3.4,6.0,0.0,0.0,0.4,0.0,4.8,0.4,4.6,0.0,0.0,0.0,0.0,0.4,7.4,0.6,2.6,0.4,0.0,0.0,0.0,0.0,6.0,2.4,1.0,0.0,0.2,40.6
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.1,1.8,0.0,0.0,0.0,0.2,0.0,1.3,0.2,55.9,0.9,0.3,0.0,0.3,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,0.2,0.1,71.5
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,0.2,0.2,0.6,1.2,10.8,0.0,0.2,0.0,0.3,0.8,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,18.3
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,7.0,1.4,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.8,8.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.8,0.0,0.2,28.4
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,5.4,3.8,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,4.4,0.2,0.0,0.0,0.0,0.0,0.0,1.8,14.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,3.6,37.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.2,2.2,0.0,0.0,0.0,0.2,0.0,1.2,0.2,55.2,0.8,0.2,0.0,0.2,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.2,0.0,69.01
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,4.4
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,4.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,6.4,7.6,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,36.61
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,2.2,8.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4,1.4,0.0,0.0,0.0,0.0,1.6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,19.6
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,6.4,2.2,0.0,0.0,61.6,0.0,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,75.61
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,2.6,2.6,0.0,0.0,0.4,0.8,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.4,0.0,0.0,22.0
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,2.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.4,0.0,0.0,15.4
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.980363,-41.619012,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,8.8
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.11695,-42.28411,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
