nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_15,02_02_15,03_02_15,04_02_15,05_02_15,06_02_15,07_02_15,08_02_15,09_02_15,10_02_15,11_02_15,12_02_15,13_02_15,14_02_15,15_02_15,16_02_15,17_02_15,18_02_15,19_02_15,20_02_15,21_02_15,22_02_15,23_02_15,24_02_15,25_02_15,26_02_15,27_02_15,28_02_15,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.6,0.6,0.4,0.0,0.0,62.0,21.6,0.0,0.0,1.8,0.8,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.2,1.0,22.8,1.8,14.2,0.0,0.0,0.0,0.0,149.6
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,3.2,20.2,0.2,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.8,3.6,43.8,4.2,7.0,0.6,0.0,90.2
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.516667,-40.283333,Chapada Diamantina,RPGA do Rio Paraguaçu,0.5,0.5,0.2,0.0,0.0,64.0,22.0,0.0,0.0,1.8,0.7,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.5,23.0,2.0,14.0,0.0,0.0,0.0,0.0,151.4
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,24.4,14.0,37.8,13.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,3.0,0.3,12.5,8.3,21.3,4.6,0.6,0.1,0.1,153.8
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.2,8.6,4.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.3,0.0,12.3,26.4,12.0,0.9,0.0,0.0,74.61
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,2.2,4.8,20.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.8,0.0,0.0,11.4,3.8,5.4,28.2,28.8,0.6,6.6,0.0,8.4,135.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,25.2,14.2,37.0,13.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,3.2,0.4,17.8,5.8,21.4,4.8,0.6,0.2,0.0,159.0
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,13.8,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.4,8.4,1.4,0.0,0.0,0.0,71.2
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,32.25,56.75,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.25,5.75,0.5,27.0,0.0,0.0,0.0,0.0,126.75
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.25,0.0,0.0,13.25,27.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.5,2.25,12.0,0.0,0.0,0.0,0.0,66.0
Boa Vista Tupim,PG-PR-17,Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,75.75,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,7.5,0.5,7.5,0.75,0.0,0.0,0.0,113.25
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.25,0.0,0.0,0.0,3.0,46.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.75,1.25,1.0,15.0,0.0,0.0,0.0,0.0,75.75
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.25,0.0,0.0,4.25,6.5,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.75,0.0,0.75,3.75,12.25,0.5,0.25,0.0,0.0,80.5
Utinga,PG-PR-23,Utinga,Utinga - PG-PR-23,-12.030089,-41.058714,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,11.75,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.25,0.25,13.75,0.75,14.75,0.75,0.75,0.5,0.0,62.0
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,10.25,1.75,6.25,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,21.0,16.75,3.25,0.5,2.5,33.0,3.75,0.5,0.5,0.0,4.25,150.25
Cascavel,PG-PR-27,Mucugê,Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.75,6.25,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.75,9.0,15.0,0.75,4.75,0.0,0.0,53.5
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.980363,-41.619012,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,5.4,23.8,12.0,27.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,8.2,0.0,0.0,0.0,0.0,78.4
Barro Alto,,Barro Alto,Barro Alto,-11.769188,-41.909464,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,35.6,2.2,11.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,0.2,0.0,6.6,0.6,0.0,0.0,0.4,77.61
Canarana,,Canarana,Canarana,-11.69541,-41.78921,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,32.8,15.8,10.8,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.2,0.0,4.4,3.0,0.2,0.0,3.6,89.4
