nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_05_15,02_05_15,03_05_15,04_05_15,05_05_15,06_05_15,07_05_15,08_05_15,09_05_15,10_05_15,11_05_15,12_05_15,13_05_15,14_05_15,15_05_15,16_05_15,17_05_15,18_05_15,19_05_15,20_05_15,21_05_15,22_05_15,23_05_15,24_05_15,25_05_15,26_05_15,27_05_15,28_05_15,29_05_15,30_05_15,31_05_15,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524062,-40.299714,Chapada Diamantina,RPGA do Rio Paraguaçu,3.8,7.4,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.2,4.6,0.0,1.4,1.4,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,21.8
Macajuba,A412,Macajuba,Macajuba - A412,-12.131694,-40.354222,Chapada Diamantina,RPGA do Rio Paraguaçu,20.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.2,0.0,0.2,7.0,1.4,15.6,2.6,3.6,0.2,8.8,3.0,0.8,0.0,0.2,0.0,4.0,0.2,0.0,0.0,1.4,72.01
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.516667,-40.283333,Chapada Diamantina,RPGA do Rio Paraguaçu,3.3,7.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,4.0,0.0,8.9,0.0,2.4,0.8,5.9,0.0,0.2,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,37.2
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,18.5,8.7,0.3,7.9,0.0,0.0,0.0,0.0,0.1,0.0,2.6,0.0,0.0,0.0,3.9,0.0,2.9,0.1,0.0,1.0,5.2,2.8,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,59.2
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,1.6,0.2,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.2,4.9,2.2,1.5,3.6,0.4,5.6,1.0,1.4,0.0,0.0,0.6,4.6,0.0,0.0,0.0,0.2,37.81
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,9.4,5.6,0.4,1.8,0.2,0.0,0.0,0.0,20.2,0.0,2.2,0.2,0.0,0.0,12.6,1.4,5.4,0.2,3.0,0.6,17.0,7.8,2.2,0.0,0.0,0.2,0.8,0.2,0.0,0.0,0.0,91.4
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,24.2,8.2,0.4,7.8,0.0,0.0,0.0,0.0,0.2,0.0,2.6,0.0,0.0,0.0,4.0,0.0,3.0,0.2,0.0,1.0,5.0,2.8,0.2,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,65.0
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,4.8,0.4,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.2,0.8,0.0,0.0,0.0,2.6,1.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.8
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,7.0,3.25,0.5,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.5
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,39.5,11.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,59.0
Boa Vista Tupim,PG-PR-17,Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,Chapada Diamantina,RPGA do Rio Paraguaçu,3.25,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.75,0.0,0.5,0.25,3.75,1.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.25,74.0
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,20.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.25,0.0,1.0,0.0,2.5,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,33.0
Utinga,PG-PR-23,Utinga,Utinga - PG-PR-23,-12.030089,-41.058714,Chapada Diamantina,RPGA do Rio Paraguaçu,65.75,18.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.0,0.0,10.75,0.25,3.25,0.0,11.5,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.5
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,13.25,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.75,4.25,0.0,2.0,0.0,0.0,0.25,3.25,1.0,0.5,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,47.5
Cascavel,PG-PR-27,Mucugê,Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,Chapada Diamantina,RPGA do Rio Paraguaçu,15.75,3.0,0.0,7.25,0.0,0.0,0.5,0.0,0.25,0.0,0.75,0.0,0.0,0.25,1.25,0.0,1.5,0.0,0.25,0.0,2.0,1.5,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,35.25
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.980363,-41.619012,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.4,0.4,1.2,0.0,0.6,0.0,8.2,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6
Barro Alto,,Barro Alto,Barro Alto,-11.769188,-41.909464,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
