nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_18,02_08_18,03_08_18,04_08_18,05_08_18,06_08_18,07_08_18,08_08_18,09_08_18,10_08_18,11_08_18,12_08_18,13_08_18,14_08_18,15_08_18,16_08_18,17_08_18,18_08_18,19_08_18,20_08_18,21_08_18,22_08_18,23_08_18,24_08_18,25_08_18,26_08_18,27_08_18,28_08_18,29_08_18,30_08_18,31_08_18,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524000000000001,-40.3,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4.0,0.2,0.0,0.0,0.0,0.0,6.6,3.6,0.2,5.8,23.0
Macajuba,A412,Macajuba,Macajuba - A412,-12.132,-40.354,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.8,2.4,0.4,0.8,0.0,0.0,0.4,14.0,12.4,0.2,1.0,33.81
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.517000000000001,-40.283,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.7,0.0,0.0,0.0,0.0,0.0,6.6,3.5,0.0,6.4,23.0
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,1.3,0.3,0.1,0.0,0.0,0.0,0.1,10.1,0.2,3.5,18.6
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.217,-41.217,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,0.4,1.0,1.6,0.0,0.0,0.0,0.0,9.3
Piatã,A430,Piatã,Piatã - A430,-13.155999999999999,-41.773999999999994,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.2,7.6,1.0,2.4,14.0
Boa Vista do Tupim,290380501U,Boa Vista do Tupim,Boa Vista do Tupim - 290380501U,-12.655999999999999,-40.626999999999995,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,2.2,0.0,0.0,0.0,0.0,1.6,2.6,1.4,1.6,10.2
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.683,-41.841,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.4,0.0,0.0,0.0,0.0,0.2,9.8,0.2,3.6,18.41
Afrânio Peixoto,PG-PR-21,Iraquara,Iraquara (Afrânio Peixoto) - PG-PR-21,-12.26,-41.446000000000005,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,1.4,3.1,0.6,0.0,0.0,0.0,0.0,5.0,22.5,2.5,7.5,43.2
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.98,-41.619,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.4,0.0,2.6,7.4
Barra dos Mendes,,Barra dos Mendes,Barra dos Mendes,-11.805,-42.056999999999995,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
